Test Time (s),F(kg)      millistrain
43.645,"010.06,000.03899
"
43.846,"009.82,000.03899
"
44.045,"009.64,000.03899
"
44.245,"009.48,000.03899
"
44.445,"009.35,000.03899
"
44.645,"009.24,000.03899
"
44.846,"009.29,000.03899
"
45.046,"009.62,000.03899"
45.261,"
0010.01,000.03899
"
45.461,"010.46,000.03899
"
45.663,"010.29,000.03899
"
45.863,"009.52,000.03899
"
46.061,"009.08,000.03899
"
46.264,"008.71,000.03899
"
46.462,"008.25,000.03899
"
46.679,"007.95,000.03899
"
46.863,"007.74,000.03899
"
47.078,"007.58,000.03899
"
47.28,"007.45,000.03899
"
47.478,"007.34,000.03899
"
47.679,"007.23,000.03899
"
47.878,"007.16,000.03899
"
48.078,"007.37,000.03899
"
48.279,"007.63,000.03899
"
48.478,"007.90,000.03899
"
48.678,"008.25,000.03899
"
48.896,"008.35,000.03899
"
49.094,"008.12,000.03899
"
49.295,"007.83,000.03899
"
49.493,"007.58,000.03899
"
49.695,"007.27,000.03899
"
49.894,"006.77,000.03899
"
50.094,"006.56,000.03899
"
50.294,"006.41,000.03899
"
50.51,"006.30,000.03899
"
50.71,"006.20,000.03899
"
50.911,"006.12,000.03899
"
51.111,"006.08,000.03899
"
51.31,"006.30,000.03899
"
51.512,"006.55,000.03899
"
51.712,"006.73,000.03899
"
51.913,"006.37,000.03899
"
52.111,"005.32,000.03899
"
52.312,"005.07,000.03899
"
52.511,"004.90,000.03899
"
52.73,"004.68,000.03899
"
52.93,"004.41,000.03899
"
53.128,"004.25,000.03899
"
53.329,"004.15,000.03899
"
53.529,"004.06,000.03899
"
53.73,"004.00,000.03899
"
53.93,"003.94,000.03899
"
54.128,"003.93,000.03899
"
54.33,"004.18,000.03899
"
54.544,"004.34,000.03899
"
54.744,"004.40,000.03899
"
54.945,"004.28,000.03899
"
55.146,"004.10,000.03899
"
55.345,"003.93,000.03899
"
55.545,"003.75,000.03899
"
55.745,"003.60,000.03899
"
55.945,"003.37,000.03899
"
56.144,"003.09,000.03899
"
56.344,"002.99,000.03899
"
56.562,"002.93,000.03899
"
56.761,"002.88,000.03899
"
56.963,"002.84,000.03899
"
57.161,"002.84,000.03899
"
57.361,"003.15,000.03899
"
57.562,"003.29,000.03899
"
57.761,"003.24,000.03899
"
57.962,"003.06,000.03899"
58.178,"
002.84,000.03899
"
58.379,"002.74,000.03899
"
58.579,"002.64,000.03899
"
58.777,"002.47,000.03899
"
58.977,"002.34,000.03899
"
59.177,"002.26,000.03899
"
59.38,"002.21,000.03899
"
59.577,"002.17,000.03899
"
59.78,"002.14,000.03899
"
59.98,"002.12,000.03899
"
60.195,"002.28,000.03899
"
60.395,"002.45,000.03899
"
60.594,"002.56,000.03899
"
60.795,"002.61,000.03899
"
60.997,"002.56,000.03899
"
61.194,"002.46,000.03899
"
61.394,"002.40,000.03899
"
61.594,"002.35,000.03899
"
61.811,"002.18,000.03899
"
62.011,"002.07,000.03899
"
62.21,"002.00,000.03899
"
62.411,"001.92,000.03899
"
62.611,"001.89,000.03899
"
62.811,"001.88,000.03899
"
63.012,"002.10,000.03899
"
63.212,"002.17,000.03899
"
63.412,"002.26,000.03899
"
63.612,"002.35,000.03899
"
63.83,"002.36,000.03899
"
64.03,"002.30,000.03899
"
64.227,"002.20,000.03899
"
64.427,"001.93,000.03899
"
64.63,"001.83,000.03899
"
64.83,"001.75,000.03899
"
65.028,"001.71,000.03899
"
65.228,"001.68,000.03899
"
65.429,"001.66,000.03899
"
65.646,"001.64,000.03899
"
65.831,"001.73,000.03899
"
66.045,"001.95,000.03899
"
66.244,"002.08,000.03899
"
66.447,"002.09,000.03899
"
66.645,"002.03,000.03899
"
66.845,"002.00,000.03899
"
67.045,"001.96,000.03899
"
67.245,"001.89,000.03899
"
67.446,"001.77,000.03899
"
67.662,"001.69,000.03899
"
67.862,"001.62,000.03899
"
68.063,"001.57,000.03899
"
68.263,"001.53,000.03899
"
68.464,"001.49,000.03899
"
68.663,"001.66,000.03899
"
68.863,"001.77,000.03899
"
69.062,"001.82,000.03899
"
69.28,"001.84,000.03899
"
69.479,"002.74,000.03899
"
69.679,"0016.59,000.03899
"
69.881,"025.91,000.03899
"
70.08,"032.54,000.03899
"
70.28,"041.09,000.03899
"
70.48,"049.23,000.03899
"
70.681,"050.87,000.03899
"
70.88,"050.36,000.03899
"
71.081,"050.05,000.03899
"
71.281,"049.82,000.03899
"
71.497,"049.62,000.03899
"
71.696,"049.39,000.03899
"
71.897,"049.17,000.03899
"
72.095,"048.99,000.03899
"
72.297,"048.83,000.03899
"
72.498,"048.08,000.03899
"
72.698,"046.05,000.03899
"
72.895,"045.51,000.03899"
73.113,"
045.24,000.03899
"
73.312,"045.02,000.03899
"
