Test Time (s),F(kg)      millistrain
0.515,?��p�i�p�i���p�p���p?�0>������?��p�0?p�a�a�������p�i��p�����0�i�pp��
3.875,"000.28,000.00000
"
4.075,"000.49,000.00000
"
4.291,"000.73,000.00000
"
4.489,"000.89,000.00000
"
4.69,"001.02,000.00000
"
4.891,"001.04,000.00000
"
5.09,"000.99,000.00000
"
5.29,"000.97,000.00000
"
5.489,"000.96,000.00000"
5.708,"
000.94,000.00000
"
5.909,"000.93,000.00000
"
6.106,"000.93,000.00000
"
6.306,"000.92,000.00000
"
6.506,"000.97,000.00000
"
6.707,"001.06,000.00000
"
6.906,"001.17,000.00000
"
7.107,"001.21,000.00000
"
7.306,"001.23,000.00000
"
7.523,"001.20,000.00000
"
7.723,"001.18,000.00000
"
7.923,"001.13,000.00000
"
8.123,"001.09,000.00000
"
8.324,"001.08,000.00000
"
8.523,"001.06,000.00000
"
8.724,"001.05,000.00000
"
8.923,"001.11,000.00000
"
9.122,"001.19,000.00000
"
9.323,"001.24,000.00000
"
9.54,"001.28,000.00000
"
9.74,"001.33,000.00000
"
9.942,"001.35,000.00000
"
10.141,"001.35,000.00000
"
10.341,"001.30,000.00000
"
10.539,"001.28,000.00000
"
10.742,"001.26,000.00000
"
10.956,"001.24,000.00000
"
11.159,"001.23,000.00000
"
11.356,"001.25,000.00000
"
11.558,"001.33,000.00000
"
11.757,"001.39,000.00000
"
11.957,"001.42,000.00000
"
12.157,"001.44,000.00000
"
12.357,"001.46,000.00000
"
12.557,"001.43,000.00000
"
12.757,"001.39,000.00000"
12.975,"
001.30,000.00000
"
13.176,"001.28,000.00000
"
13.373,"001.26,000.00000
"
13.574,"001.25,000.00000
"
13.775,"001.24,000.00000
"
13.976,"001.23,000.00000
"
14.174,"001.27,000.00000
"
14.376,"001.33,000.00000
"
14.592,"001.36,000.00000
"
14.79,"001.37,000.00000
"
14.993,"001.37,000.00000
"
15.193,"001.37,000.00000
"
15.391,"001.39,000.00000
"
15.591,"001.38,000.00000
"
15.791,"001.33,000.00000
"
15.992,"001.27,000.00000
"
16.192,"001.23,000.00000
"
16.409,"001.22,000.00000
"
16.607,"001.20,000.00000
"
16.807,"001.19,000.00000
"
17.009,"001.20,000.00000
"
17.209,"001.28,000.00000
"
17.409,"001.30,000.00000
"
17.609,"001.32,000.00000
"
17.809,"001.33,000.00000
"
18.011,"001.35,000.00000
"
18.226,"001.38,000.00000
"
18.426,"001.38,000.00000
"
18.627,"001.36,000.00000
"
18.826,"001.35,000.00000
"
19.027,"001.31,000.00000
"
19.226,"001.28,000.00000
"
19.424,"001.26,000.00000"
19.627,"
001.25,000.00000
"
19.844,"001.24,000.00000
"
20.043,"001.27,000.00000
"
20.243,"001.33,000.00000
"
20.443,"001.37,000.00000
"
20.644,"001.40,000.00000
"
20.844,"001.41,000.00000
"
21.044,"001.43,000.00000
"
21.241,"001.45,000.00000
"
21.442,"001.45,000.00000"
21.661,"
001.45,000.00000
"
21.859,"001.41,000.00000
"
22.058,"001.35,000.00000
"
22.261,"001.33,000.00000
"
22.46,"001.30,000.00000
"
22.66,"001.29,000.00000
"
22.861,"001.28,000.00000
"
23.062,"001.28,000.00000
"
23.262,"001.38,000.00000
"
23.46,"001.40,000.00000"
23.674,"
001.42,000.00000
"
23.875,"001.43,000.00000
"
24.078,"001.43,000.00000
"
24.275,"001.44,000.00000
"
24.478,"001.45,000.00000
"
24.674,"001.44,000.00000
"
24.892,"001.44,000.00000
"
25.076,"001.43,000.00000
"
25.292,"001.36,000.00000
"
25.492,"001.34,000.00000
"
25.691,"001.31,000.00000
"
25.892,"001.29,000.00000
"
26.095,"001.28,000.00000
"
26.293,"001.29,000.00000
"
26.492,"001.38,000.00000
"
26.692,"001.41,000.00000
"
26.892,"001.42,000.000"
27.108,"00
001.41,000.00000
"
27.309,"001.41,000.00000
"
27.509,"001.41,000.00000
"
27.712,"001.41,000.00000
"
27.91,"001.42,000.00000
"
28.111,"001.42,000.00000
"
28.326,"001.41,000.00000
"
28.528,"001.34,000.00000
"
28.725,"001.27,000.00000
"
28.926,"001.23,000.00000
"
29.126,"001.21,000.00000
"
29.328,"001.20,000.00000
"
29.529,"001.25,000.00000
"
29.73,"001.31,000.00000
"
29.929,"001.34,000.00000
"
30.125,"001.35,000.00000
"
30.343,"001.36,000.00000
"
30.543,"001.30,000.00000
"
30.745,"001.28,000.00000
"
30.943,"001.26,000.00000
"
31.143,"001.23,000.00000
"
31.344,"001.22,000.00000
"
31.544,"001.18,000.00000
"
31.741,"001.13,000.00000
"
31.943,"001.10,000.00000
"
32.142,"001.08,000.00000"
32.358,"
001.06,000.00000
"
32.558,"001.05,000.00000
"
32.759,"001.09,000.00000
"
32.958,"001.15,000.00000
"
33.158,"001.16,000.00000
"
33.358,"001.15,000.00000
"
33.559,"001.05,000.00000"
33.778,"
001.03,000.00000
"
33.975,"001.03,000.00000
"
34.162,"001.03,000.00000
"
34.377,"001.04,000.00000
"
34.575,"001.05,000.00000
"
34.775,"001.05,000.00000
"
34.976,"001.00,000.00000
"
35.175,"000.94,000.00000
"
35.377,"000.92,000.00000
"
35.577,"000.90,000.00000"
35.794,"
000.89,000.00000
"
35.993,"000.91,000.00000
"
36.196,"000.98,000.00000
"
36.395,"000.99,000.00000
"
36.592,"001.01,000.00000
"
36.793,"001.02,000.00000
"
36.995,"001.03,000.00000
"
37.196,"001.03,000.00000
"
37.394,"001.03,000.00000
"
37.611,"001.03,000.00000
"
37.81,"001.03,000.00000
"
38.01,"000.99,000.00000
"
38.209,"000.95,000.00000
"
38.409,"000.94,000.00000
"
38.611,"000.93,000.00000
"
38.81,"000.92,000.00000
"
39.029,"000.97,000.00000
"
39.226,"001.00,000.00000
"
39.428,"001.02,000.00000
"
39.627,"001.03,000.00000
"
39.829,"001.05,000.00000
"
40.03,"001.06,000.00000
"
40.228,"001.06,000.00000
"
40.428,"001.06,000.00000
"
40.629,"001.06,000.00000
"
40.827,"001.04,000.00000"
41.044,"
001.01,000.00000
"
41.246,"000.99,000.00000
"
41.444,"000.97,000.00000
"
41.645,"000.96,000.00000
"
41.845,"000.94,000.00000
"
42.045,"001.01,000.00000
"
42.245,"001.03,000.00000
"
42.446,"001.04,000.00000
"
42.663,"001.05,000.00000
"
42.846,"001.06,000.00000"
43.061,"
001.07,000.00000
"
43.26,"001.06,000.00000
"
43.462,"001.07,000.00000
"
43.662,"001.07,000.00000
"
43.863,"001.07,000.00000
"
44.061,"001.06,000.00000
"
44.277,"001.01,000.00000
"
44.48,"000.99,000.00000
"
44.679,"000.97,000.00000
"
44.877,"000.96,000.00000
"
45.069,"000.95,000.00000
"
45.28,"001.02,000.00000
"
45.478,"001.04,000.00000
"
45.679,"001.04,000.00000
"
45.88,"001.05,000.00000
"
46.08,"001.04,000.00000
"
46.297,"001.04,000.00000
"
46.496,"001.04,000.00000
"
46.696,"001.04,000.00000
"
46.897,"001.05,000.00000
"
47.098,"000.99,000.00000
"
47.298,"000.95,000.00000
"
47.497,"000.93,000.00000
"
47.699,"000.92,000.00000
"
47.9,"000.91,000.00000
"
48.098,"000.98,000.00000
"
48.314,"001.01,000.00000
"
48.516,"001.02,000.00000
"
48.714,"001.02,000.00000
"
48.914,"001.03,000.00000
"
49.114,"001.03,000.00000
"
49.313,"001.03,000.00000
"
49.515,"001.02,000.00000
"
49.733,"001.02,000.00000
"
49.931,"000.97,000.00000
"
50.133,"000.93,000.00000
"
50.332,"000.91,000.00000
"
50.532,"000.89,000.00000
"
50.734,"000.88,000.00000
"
50.931,"000.92,000.00000
"
51.133,"000.97,000.00000
"
51.333,"000.98,000.00000
"
51.533,"000.98,000.00000
"
51.746,"000.98,000.00000
"
51.947,"000.97,000.00000
"
52.147,"000.97,000.00000
"
52.346,"000.96,000.00000
"
52.549,"000.96,000.00000
"
52.747,"000.95,000.00000
"
52.949,"000.94,000.00000
"
53.149,"000.91,000.00000
"
53.35,"000.89,000.00000
"
53.566,"000.88,000.00000
"
53.765,"000.87,000.00000
"
53.964,"000.87,000.00000
"
54.166,"000.92,000.00000
"
54.365,"000.93,000.00000
"
54.565,"000.94,000.00000
"
54.763,"000.94,000.00000
"
54.98,"000.93,000.00000
"
55.184,"000.92,000.00000
"
55.381,"000.91,000.00000
"
55.583,"000.91,000.00000
"
55.783,"000.91,000.00000
"
55.981,"000.90,000.00000
"
56.182,"000.87,000.00000
"
56.381,"000.86,000.00000
"
56.581,"000.85,000.00000
"
56.781,"000.84,000.00000"
