Test Time (s),F(kg)      millistrain
0.445,��p��?��?�i��������x���
3.785,"00-0.00,000.00001
"
3.985,"000.00,000.00000
"
4.184,"00-0.00,000.00000
"
4.385,"000.00,000.00000
"
4.585,"000.00,000.00000
"
4.784,"000.00,000.00000
"
5.003,"000.00,000.00004
"
5.203,"000.15,000.00077
"
5.385,"000.92,000.00170"
5.6,"
001.61,000.00190
"
5.799,"001.65,000.00190
"
6.002,"001.65,000.00190
"
6.202,"001.64,000.00189
"
6.4,"001.63,000.00189
"
6.601,"001.63,000.00189
"
6.804,"001.66,000.00231
"
7.019,"002.40,000.00345
"
7.218,"003.32,000.00445
"
7.417,"004.10,000.00548
"
7.617,"004.97,000.00694
"
7.817,"006.14,000.00807
"
8.017,"006.82,000.00812
"
8.22,"006.80,000.00810
"
8.418,"006.78,000.00809
"
8.617,"006.76,000.00808
"
8.817,"006.75,000.00806
"
9.037,"006.74,000.00807
"
9.237,"006.85,000.00873
"
9.436,"007.58,000.00982
"
9.636,"008.39,000.01085
"
9.833,"009.20,000.01169
"
10.035,"0010.05,000.02059
"
10.234,"010.94,000.05879
"
10.436,"011.70,000.05879
"
10.633,"011.67,000.058"
10.85,"79
011.62,000.05879
"
11.053,"011.59,000.05879
"
11.251,"011.56,000.05879
"
11.451,"011.53,000.05879
"
11.654,"011.50,000.05879
"
11.852,"011.53,000.05879
"
12.053,"011.49,000.05879
"
12.253,"003.86,000.05879
"
12.471,"003.65,000.05879
"
12.654,"003.61,000.05879
"
12.867,"003.47,000.05879
"
13.067,"003.27,000.05879
"
13.268,"003.14,000.05879
"
13.467,"003.06,000.05879
"
13.667,"003.01,000.05879
"
13.867,"002.97,000.05879
"
14.07,"002.94,000.05879
"
14.267,"002.93,000.05879"
14.486,"
003.15,000.05879
"
14.683,"003.10,000.05879
"
14.884,"002.95,000.05879
"
15.086,"002.79,000.05879
"
15.283,"002.64,000.05879
"
15.484,"002.49,000.05879
"
15.684,"002.42,000.05879
"
15.884,"002.37,000.05879
"
16.085,"002.35,000.05879
"
16.303,"002.32,000.05879
"
16.486,"002.31,000.05879
"
16.7,"002.34,000.05879
"
16.903,"002.52,000.05879
"
17.101,"002.54,000.05879
"
17.302,"002.48,000.05879
"
17.5,"002.44,000.05879
"
17.701,"002.41,000.05879
"
17.9,"002.30,000.05879
"
18.1,"002.24,000.058"
18.317,"79
002.20,000.05879
"
18.517,"002.17,000.05879
"
18.718,"002.14,000.05879
"
18.917,"002.13,000.05879
"
19.12,"002.21,000.05879
"
19.319,"002.34,000.05879
"
19.517,"002.38,000.05879
"
19.719,"002.30,000.05879
"
19.919,"002.09,000.05879
"
20.135,"002.04,000.05879
"
20.335,"002.00,000.05879
"
20.535,"001.94,000.05879
"
20.735,"001.90,000.05879
"
20.937,"001.88,000.05879
"
21.135,"001.87,000.05879
"
21.335,"001.85,000.05879
"
21.536,"001.85,000.05879
"
21.737,"001.94,000.05879
"
21.952,"002.03,000.05879
"
22.154,"002.07,000.05879
"
22.353,"002.07,000.05879
"
22.553,"002.05,000.05879
"
22.752,"002.00,000.05879
"
22.952,"001.92,000.05879
"
23.153,"001.89,000.05879
"
23.352,"001.86,000.05879
"
23.552,"001.84,000.05879
"
23.753,"001.82,000.05879
"
23.953,"001.81,000.05879
"
24.17,"001.80,000.05879
"
24.371,"001.89,000.05879
"
24.568,"001.90,000.05879
"
24.769,"001.91,000.05879
"
24.97,"001.86,000.05879
"
25.169,"001.83,000.05879
"
25.37,"001.78,000.05879
"
25.568,"001.73,000.0587"
25.786,"9
001.72,000.05879
"
25.987,"001.70,000.05879
"
26.187,"001.69,000.05879
"
26.387,"001.68,000.05879
"
26.588,"001.67,000.05879
"
26.788,"001.74,000.05879
"
26.987,"001.84,000.05879
"
27.187,"001.89,000.05879
"
27.388,"001.90,000.05879
"
27.584,"001.87,000.05879
"
27.787,"001.79,000.05879"
28.003,"
001.75,000.05879
"
28.202,"001.72,000.05879
"
28.404,"001.71,000.05879
"
28.605,"001.69,000.05879
"
28.802,"001.68,000.05879
"
