Test Time (s),F(kg),strain raw
29.402,14.78,8506805.00
29.52,14.88,8506805.00
29.619,14.99,8506805.00
29.72,15.08,8506805.00
29.82,15.18,8506805.00
29.919,15.27,8506805.00
30.019,15.37,8506805.00
30.12,15.46,8506805.00
30.221,15.56,8506805.00
30.32,15.66,8506805.00
30.419,15.76,8506805.00
30.519,15.97,8506805.00
30.619,16.06,8506805.00
30.735,16.15,8506805.00
30.82,16.24,8506805.00
30.92,16.34,8506805.00
31.021,16.44,8506805.00
31.121,16.55,8506805.00
31.237,16.63,8506805.00
31.339,16.71,8506805.00
31.437,16.79,8506805.00
31.538,16.87,8506805.00
31.637,16.96,8506805.00
31.739,17.05,8506805.00
31.837,17.13,8506805.00
31.937,17.21,8506805.00
32.037,17.27,8506805.00
32.138,17.32,8506805.00
32.237,17.37,8506805.00
32.338,17.42,8506805.00
32.438,17.47,8506805.00
32.54,17.57,8506805.00
32.638,17.62,8506805.00
32.738,17.67,8506805.00
32.837,17.72,85068
32.937,17.81,8506805.00
33.055,17.95,8506805.00
33.153,18.03,8506805.00
33.255,18.02,8506805.00
33.355,18.01,8506805.00
33.458,17.99,8506805.00
33.554,17.98,8506805.00
33.654,17.97,8506805.00
33.757,17.96,8506805.00
33.856,17.95,8506805.00
33.954,17.94,8506805.00
34.054,17.93,8506805.00
34.154,17.92,8506805.00
34.255,17.91,8506805.00
34.355,17.92,8506805.00
34.471,18.08,8506805.00
34.572,18.62,8506805.00
34.654,18.85,8506805.00
34.757,19.07,8506805.00
34.871,19.26,8506805.00
34.971,19.44,8506805.00
35.071,19.60,8506805.00
35.172,19.75,8506805.00
35.271,19.90,8506805.00
35.371,20.03,8506805.00
35.471,20.13,8506805.00
35.571,20.22,8506805.00
35.671,20.30,8506805.00
35.771,20.37,8506805.00
35.871,20.44,8506805.00
35.971,20.52,8506805.00
36.071,20.61,8506805.00
36.171,20.71,8506805.00
36.288,20.83,8506805.00
36.371,20.94,85068
36.489,21.03,8506805.00
36.587,21.12,8506805.00
36.69,21.31,8506805.00
36.787,21.38,8506805.00
36.887,21.44,8506805.00
36.988,21.50,8506805.00
37.087,21.56,8506805.00
37.19,21.61,8506805.00
37.289,21.67,8506805.00
37.39,21.74,8506805.00
37.488,21.84,8506805.00
37.588,21.90,8506805.00
37.688,21.87,8506805.00
37.805,21.84,8506805.00
37.89,21.82,8506805.00
37.989,21.79,8506805.00
38.19,21.74,8506805.00
38.305,21.72,8506805.00
38.405,21.70,8506805.00
38.504,21.69,8506805.00
38.605,21.67,8506805.00
38.705,21.64,8506805.00
38.806,21.62,8506805.00
38.904,21.65,8506805.00
39.004,21.84,8506805.00
39.106,22.06,8506805.00
39.205,22.25,8506805.00
39.304,22.40,8506805.00
39.405,22.55,8506805.00
39.507,22.68,8506805.00
39.605,22.80,8506805
39.822,23.02,8506805.00
39.907,23.14,8506805.0
40.121,23.35,8506805.00
40.223,23.45,8506805.00
40.324,23.56,8506805.00
40.424,23.66,8506805.00
40.524,23.75,8506805.00
40.624,23.85,8506805.00
40.721,23.95,8506805.00
40.823,24.15,8506805.00
40.922,24.24,8506805.00
41.025,24.31,8506805.00
41.123,24.35,8506805.00
