Test Time (s),F(kg)      millistrain
0.476,��������������x����x�������
3.833,"00-0.00,000.00000
"
4.032,"0117.43,000.00000
"
4.233,"000.09,000.00056
"
4.431,"000.81,000.00164
"
4.632,"001.57,000.00247
"
4.832,"002.07,000.00280
"
5.032,"002.16,000.00279
"
5.232,"002.15,000.00279
"
5.432,"002.14,000.00279
"
5.65,"002.14,000.00280
"
5.848,"002.13,000.00280
"
6.048,"002.13,000.00280
"
6.249,"002.13,000.00293
"
6.449,"002.54,000.00386
"
6.652,"003.31,000.00495
"
6.852,"004.06,000.00604
"
7.05,"004.85,000.00745
"
7.249,"005.81,000.00869
"
7.467,"006.51,000.00943
"
7.665,"006.93,000.00969
"
7.865,"007.00,000.00970
"
8.065,"006.98,000.00970
"
8.265,"006.96,000.00970
"
8.466,"006.95,000.00970
"
8.667,"006.94,000.00971
"
8.865,"006.93,000.00971
"
9.082,"006.94,000.01014
"
9.282,"007.48,000.01146
"
9.483,"008.33,000.01472
"
9.685,"009.11,000.05664
"
9.885,"009.97,000.05664
"
10.083,"010.78,000.05664
"
10.281,"011.45,000.05664
"
10.483,"011.62,000.05664
"
10.683,"011.54,000.05664
"
10.882,"011.48,000.05664
"
11.084,"011.43,000.05664
"
11.301,"011.38,000.05664
"
11.5,"011.33,000.05664
"
11.703,"011.28,000.05664
"
11.902,"08.20,000.05664
"
12.099,"003.44,000.05664
"
12.299,"003.45,000.05664
"
12.5,"003.47,000.05664
"
12.7,"003.38,000.05664
"
12.902,"003.25,000.05664
"
13.116,"003.07,000.05664
"
13.317,"002.95,000.05664
"
13.516,"002.88,000.05664
"
13.717,"002.82,000.05664
"
13.916,"002.78,000.05664
"
14.119,"002.75,000.05664
"
14.318,"002.73,000.05664
"
14.516,"002.95,000.05664
"
14.72,"002.73,000.05664
"
14.915,"002.45,000.05664
"
15.116,"002.25,000.05664"
15.334,"
002.14,000.05664
"
15.532,"002.05,000.05664
"
15.732,"001.98,000.05664
"
15.936,"001.94,000.05664
"
16.132,"001.92,000.05664
"
16.335,"001.91,000.05664
"
16.532,"001.89,000.05664
"
16.733,"001.95,000.05664
"
16.951,"002.07,000.05664
"
17.135,"002.12,000.05664
"
17.35,"002.11,000.05664
"
17.549,"002.07,000.05664
"
17.75,"002.01,000.05664
"
17.949,"001.96,000.05664
"
18.15,"001.94,000.05664
"
18.351,"001.91,000.05664
"
18.551,"001.89,000.05664
"
18.749,"001.88,000.05664
"
18.949,"001.98,000.05664"
19.165,"
002.07,000.05664
"
19.365,"002.11,000.05664
"
19.567,"002.12,000.05664
"
19.767,"002.09,000.05664
"
19.967,"002.01,000.05664
"
20.166,"001.95,000.05664
"
20.369,"001.92,000.05664
"
20.567,"001.89,000.05664
"
20.785,"001.87,000.05664
"
20.969,"001.86,000.05664
"
21.185,"001.86,000.05664
"
21.384,"001.96,000.05664
"
21.583,"002.01,000.05664
"
21.784,"002.02,000.05664
"
21.983,"002.01,000.05664
"
22.187,"002.02,000.05664
"
22.383,"001.97,000.05664
"
22.585,"001.90,000.05664
"
22.785,"001.87,000.05664
"
23.001,"001.86,000.05664
"
23.2,"001.85,000.05664
"
23.4,"001.86,000.05664
"
23.602,"001.98,000.05664
"
23.801,"002.02,000.05664
"
24.0,"002.03,000.05664
"
24.2,"002.05,000.05664
"
24.402,"002.03,000.05664
"
24.601,"001.96,000.05664
"
24.817,"001.90,000.05664
"
25.017,"001.88,000.05664
"
25.219,"001.86,000.05664
"
25.417,"001.85,000.05664
"
25.619,"001.86,000.05664
"
25.817,"001.98,000.05664
"
26.018,"002.04,000.05664
"
26.219,"002.05,000.05664
"
26.418,"002.03,000.05664
"
26.618,"001.99,000.05664
"
26.819,"001.94,000.05664
"
27.035,"001.90,000.05664
"
27.235,"001.86,000.05664
"
27.434,"001.85,000.05664
"
27.633,"001.83,000.05664
"
27.836,"001.82,000.05664
"
28.035,"001.80,000.05664
"
28.234,"001.80,000.05664
"
28.435,"001.79,000.05664
"
28.653,"001.79,000.05664
"
28.836,"001.77,000.05664
"
29.051,"001.77,000.05664
"
29.251,"001.76,000.05664
"
29.452,"001.76,000.05664
"
29.652,"001.75,000.05664
"
