Test Time (s),F(kg)      millistrain
3.499,"0.0000038
6
-0.00,0.0000062
-0.00,0.0000062
0.00,0052
-0.00,0.0000048
0.00,0.0000048
-0.00,0.0000048
-0.00,0.0000052
0.00,0.0000056
-0.00,0.0000062
-0.00,0.0000062
0.00,-0.00,"
3.682,"-0.0000004
-0.00,"
3.866,"-0.0000005
0.00,"
4.049,"-0.0000007
0.00,"
4.232,"0.0001170
0.58,"
4.416,"0.0010060
1.43,"
4.599,"0.0010082
1.41,"
4.781,"0.0010033
1.40,"
4.964,"0.0010000
1.39,"
5.148,"0.0009971
1.41,"
5.332,"0.0016435
3.26,"
5.532,"0.0044635
7.51,"
5.717,"0.0068081
9.54,"
5.899,"0.0069126
9.50,"
6.082,"0.0068917
9.46,"
6.265,"0.0068770
9.43,"
6.45,"0.0068650
9.41,"
6.633,"0.0071666
10.34,"
6.815,"0.0091926
13."
6.916,"46,0.0120040
"
7.099,"16.27,0.0128147
"
7.282,"17.14,0.0132234
"
7.466,"17.28,0.0131854
"
7.649,"17.20,0.0131608
"
7.833,"17.15,0.0131405
"
8.016,"17.12,0.0131226
"
8.2,"17.07,0.0131237
"
8.399,"17.19,0.0143730
"
8.582,"19.56,0.0467891
"
8.766,"22.75,0.0588686
"
8.949,"23.93,0.0588686
"
9.133,"24.47,0.0588686
"
9.317,"24.38,0.0588686
"
9.5,"24.26,0.0588686
"
9.683,"24.17,0.0588686
"
9.883,"24.10,0.0588686
"
10.067,"24.03,0.0588686
"
10.25,"24.00,0.0588686
"
10.433,"25.16,0.0588686
"
10.616,"27.48,0.0588686
"
10.799,"29.74,0.0588686
"
10.983,"30.64,0.0588686
"
11.167,"30.27,0.0588686
"
11.349,"30.00,0.0588686
"
11.534,"29.80,0.0588686
"
11.718,"29.63,0.0588686
"
11.899,"29.48,0.0588686
"
12.083,"29.35,0.0588686
"
12.284,"29.37,0.0588686
"
12.466,"30.64,0.0588686
"
12.65,"32.85,0.0588686
"
12.833,"34.61,0.0588686
"
13.016,"34.68,0.0588686
"
13.2,"33.97,0.0588686
"
13.383,"33.48,0.0588686
"
13.567,"33.11,0.0588686
"
13.75,"32.81,0.0588686
"
13.949,"32.55,0.0588686
"
14.133,"32.35,0.0588686
"
14.317,"32.82,0.0588686
"
14.501,"33.88,0.0588686
"
14.683,"35.70,0.0588686
"
14.866,"37.05,0.0588686
"
15.05,"36.05,0.0588686
"
15.233,"35.17,0.0588686
"
15.416,"34.55,0.0588686
"
15.6,"34.08,0.0588686
"
15.783,"33.71,0.0588686
"
15.967,"33.38,0.0588686
"
16.151,"33.14,0.0588686
"
16.35,"33.94,0.0588686
"
16.534,"35.52,0.0588686
"
16.717,"36.97,0.0588686
"
16.9,"37.09,0.0588686
"
17.084,"35.81,0.0588686
"
17.267,"34.94,0.0588686
"
17.451,"34.30,0.0588686
"
17.633,"33.80,0.0588686
"
17.834,"33.39,0.0588686
"
18.018,"33.04,0.0588686
"
18.2,"32.81,0.0588686
"
18.384,"34.01,0.0588686
"
18.567,"35.53,0.0588686
"
18.751,"36.69,0.0588686
"
18.934,"36.75,0.0588686
"
19.117,"35.52,0.0588686
"
19.301,"34.47,0.0588686
"
19.485,"33.70,0.0588686
"
19.668,"33.09,0.0588686
"
19.852,"32.59,0.0588686
"
20.035,"32.18,0.0588686
"
20.233,"32.25,0.0588686
"
20.417,"33.40,0.0588686
"
20.601,"34.40,0.0588686
"
20.785,"35.28,0.0588686
"
20.968,"34.60,0.0588686
"
21.151,"32.43,0.0588686
"
21.334,"30.71,0.0588686
"
21.519,"29.14,0.0588686
"
21.701,"27.58,0.0588686
"
21.901,"23.23,0.0588686
"
22.069,"0.35,0.0588686
"
22.267,"0.01,0.0588686
"
22.451,"0.00,0.0588686
"
22.634,"0.00,0.0588686
"
22.818,"0.00,0.0588686
"
23.001,"0.00,0.0588686
"
23.185,"0.00,0.0588686
"
23.368,"0.00,0.0588686
"
23.551,"0.00,0.0588686
"
23.735,"0.00,0.0588686
"
23.919,"0.00,0.0588686
"
24.103,"-0.00,0.0588686
"
24.285,"0.00,0.0588686"
24.484,"
0.00,0.0588686
"
24.668,"0.00,0.0588686
"
24.852,"0.00,0.0588686
"
25.035,"0.00,0.0588686
"
25.218,"-0.00,0.0588686
"
25.401,"0.00,0.0588686
"
25.584,"0.00,0.0588686
"
