Test Time (s),F(kg)      millistrain
3.532,"-0,-0.0000163
155
-0.00,-0.0000160
0.00,-0.0000165
0.00,-0.0000167
-0.00,-0.0000162
-0.00,-0.0000165
0.00,-0.0000164
-0.00,-0.0000163
155
-0.00,-0.0000160
0.00,-0.0000165
0.00,-0.0000167
-0.00,-0.0000162
-0.00,-0.0000165
0.00,-0.0000164
-0.00,-0.0000163
-0.00,"
3.714,"-0.0000018
0.00,"
3.899,"-0.0000022
-0.00,"
4.082,"-0.0000030
0.00,"
4.265,"-0.0000035
0.00,"
4.447,"-0.0000036
0.00,"
4.632,"-0.0000040
0.00,"
4.831,"-0.0000040
-0.00,"
5.015,"-0.0000041
-0.00,"
5.199,"-0.0000038
0.00,"
5.381,"-0.0000043
0.00,"
5.565,"-0.0000043
0.00,"
5.749,"-0.0000040
-0.00,"
5.933,"-0.0000041
0.00,"
6.116,"-0.0000040
0.00,"
6.298,"-0.0000034
-0.00,"
6.5,"-0.0000032
0.00,"
6.682,"-0.0000030
-0.00,"
6.865,"-0.0000026
0.00,"
7.048,"-0.0000021
-0.00,"
7.232,"-0.0000023
0.00,"
7.415,"-0.0000020
0.00,"
7.599,"-0.0000011
0.00,"
7.782,"-0.0000004
0.00,"
7.965,"0.0000001
0.00,"
8.149,"0.0000004
0.00,"
8.332,"0.0000006
0.00,"
8.515,"0.0000007
-0.00,"
8.715,"0.0000013
-0.00,"
8.899,"0.0000015
-0.00,"
9.083,"0.0000020
0.00,"
9.265,"0.0000023
0.00,"
9.449,"0.0000026
0.00,"
9.633,"0.0000026
0.00,"
9.817,"0.0000024
0.00,"
9.999,"0.0000024
0.00,"
10.182,"0.0000027
0.00,"
10.365,"0.0000025
-0.00,"
10.549,"0.0000020
-0.00,"
10.749,"0.0000011
0.00,"
10.932,"0.0000012
0.00,"
11.116,"0.0000012
-0.00,"
11.298,"0.0000008
-0.00,"
11.482,"0.0000010
-0.00,"
11.666,"0.0000014
-0.00,"
11.849,"0.0000013
0.00,"
12.034,"0.0000011
-0.00,"
12.215,"0.0000007
-0.00,"
12.399,"0.0000007
0.00,"
12.583,"0.0000007
-0.0"
12.782,"0,0.0000010
0.00,"
12.966,"0.0000020
0.00,"
13.149,"0.0000021
0.00,"
13.333,"0.0000023
0.00,"
13.516,"0.0000026
0.00,"
13.7,"0.0000029
0.00,"
13.883,"0.0000032
0.00,"
14.066,"0.0000037
-0.00,"
14.25,"0.0000035
0.00,"
14.433,"0.0000033
0.00,"
14.633,"0.0000031
0.00,"
14.816,"0.0000027
-0.00,"
15.0,"0.0000022
0.00,"
15.183,"0.0000020
0.00,"
15.366,"0.0000018
0.00,"
15.55,"0.0000020
-0.00,"
15.734,"0.0000029
0.00,"
15.916,"0.0000032
0.00,"
16.1,"0.0000035
0.00,"
16.283,"0.0000033
0.00,"
16.466,"0.0000033
0.00,"
16.666,"0.0000030
0.00,"
16.85,"0.0000030
0.00,"
17.032,"0.0000034
-0.00,"
17.218,"0.0000040
0.00,"
17.4,"0.0000046
0.00,"
17.583,"0.0000053
0.00,"
17.767,"0.0000063
0.00,"
17.95,"0.0000070
0.00,"
18.132,"0.0000076
0.00,"
18.316,"0.0000083
0.00,"
18.517,"0.0000093
-0.00,"
18.684,"0.0000098
0.00,"
18.883,"0.0000100
-0.00,"
19.067,"0.0000102
0.00,"
19.25,"0.0000102
-0.00,"
19.433,"0.0000106
0.00,"
19.617,"0.0000110
0.00,"
19.8,"0.0000114
0.00,"
19.984,"0.0000115
0.00,"
20.166,"0.0000117
0.00,"
20.35,"0.0000116
0.00,"
20.533,"0.0000121
0.00"
20.733,",0.0000120
0.00,"
20.916,"0.0000123
0.00,"
21.1,"0.0000126
0.00,"
21.284,"0.0000124
0.00,"
21.466,"0.0000127
-0.00,"
21.65,"0.0000133
0.00,"
21.835,"0.0000243
0.03,"
22.017,"0.0011004
1.84,"
22.201,"0.0025686
3.98,"
22.384,"0.0031630
4.92,"
22.567,"0.0031948
4.99,"
22.751,"0.0031473
4.96,"
22.951,"0.0031112
4.95,"
23.134,"0.0031037
4.99,"
23.318,"0.0041825
6.81,"
23.501,"0.0062853
9.98,"
23.684,"0.0075516
11.66,"
23.867,"0.0073796
11.61,"
24.051,"0.0072431
11.56,"
24.234,"0.0071362
11.53,"
24.417,"0.0071407
11.70"
24.617,",0.0085564
13.98,"
24.8,"0.0300291
17.22,"
24.985,"0.0590338
18.20,"
25.167,"0.0590338
18.12,"
25.351,"0.0590338
18.05,"
25.534,"0.0590338
17.99,"
25.717,"0.0590338
19.02,"
