Test Time (s),F(kg)      millistrain
3.434,"0.0000257
0
0.00,0.0000302
0.00,0.0000301
0.00,0.0000303
0.00,0.0000299
0.00,0.0000299
0.00,0.0000300
0.00,0.0000298
-0.00,"
3.618,"0.0000008
0.00,"
3.801,"0.0000013
-0.00,"
3.984,"0.0000014
0.00,"
4.168,"0.0000022
-0.00,"
4.367,"0.0000020
-0.00,"
4.552,"0.0000023
0.00,"
4.735,"0.0000025
0.00,"
4.919,"0.0000027
0.00,"
5.101,"0.0000030
0.00,"
5.285,"0.0000033
0.00,"
5.467,"0.0000041
0.00,"
5.652,"0.0000037
-0.00,"
5.834,"0.0000042
-0.00,"
6.018,"0.0000043
0.00,"
6.201,"0.0000040
0.00,"
6.385,"0.0000038
0.00,"
6.568,"0.0000038
0.00,"
6.752,"0.0000035
0.00,"
6.95,"0.0000024
0.00,"
7.134,"0.0000015
-0.00,"
7.317,"0.0000006
0.00,"
7.502,"-0.0000007
0.00,"
7.685,"-0.0000012
-0.00,"
7.868,"-0.0000016
-0.00,"
8.052,"-0.0000021
0.00,"
8.234,"-0.0000018
0.00,"
8.418,"-0.0000011
0.00,"
8.601,"-0.0000001
-0.00,"
8.784,"-0.0000000
-0.00,"
8.968,"0.0000004
0.0"
9.168,"0,0.0000006
-0.00,"
9.351,"0.0000013
0.00,"
9.535,"0.0000019
-0.00,"
9.718,"0.0000019
-0.00,"
9.902,"0.0000018
-0.00,"
10.085,"0.0000015
0.00,"
10.268,"0.0000005
0.00,"
10.452,"-0.0000005
0.00,"
10.636,"-0.0000014
-0.00,"
10.82,"-0.0000024
0.00,"
11.018,"-0.0000027
0.00,"
11.201,"-0.0000025
-0.00,"
11.385,"-0.0000022
0.00,"
11.568,"-0.0000026
0.00,"
11.753,"-0.0000031
0.00,"
11.936,"-0.0000041
-0.00,"
12.118,"-0.0000045
-0.00,"
12.303,"-0.0000051
0.00,"
12.485,"-0.0000056
0.00,"
12.668,"-0.0000059
0.00,"
12.852,"-0.0000062
0.00,"
13.036,"-0.0000061
-0.00,"
13.218,"-0.0000059
0.00,"
13.418,"-0.0000058
0.00,"
13.602,"-0.0000056
-0.00,"
13.785,"-0.0000055
-0.00,"
13.97,"-0.0000053
-0.00,"
14.152,"-0.0000048
0.00,"
14.335,"-0.0000043
0.00,"
14.519,"-0.0000037
-0.00,"
14.703,"-0.0000029
0.00,"
14.885,"-0.0000022
-0.00,"
15.07,"-0.0000018
-0.00,"
15.252,"-0.0000005
0.00,"
15.436,"0.0000007
0.00,"
15.62,"0.0000007
0.00,"
15.819,"0.0000018
-0.00,"
16.003,"0.0000031
0.00,"
16.185,"0.0000032
-0.00,"
16.369,"0.0000044
0.00,"
16.552,"0.0000036
0.00,"
16.736,"0.0000054
-0.00,"
16.92,"0.0000060
0.00,"
17.103,"0.0000058
-0.00,"
17.285,"0.0000066
0.00,"
17.47,"0.0000074
0.00,"
17.653,"0.0000075
-0.00,"
17.836,"0.0000075
0.00,"
