Test Time (s),F(kg)      millistrain
0.514,pp�p���?��p��
3.902,"001.34,000.00000
"
4.105,"001.44,000.00000
"
4.319,"001.44,000.00000
"
4.519,"001.43,000.00000
"
4.722,"001.43,000.00000
"
4.921,"001.42,000.00000
"
5.118,"002.00,000.00000
"
5.32,"003.29,000.00000
"
5.535,"004.56,000.00000
"
5.735,"005.80,000.00000
"
5.938,"007.03,000.00000
"
6.138,"008.15,000.00000
"
6.338,"008.26,000.00000
"
6.536,"008.23,000.00000
"
6.735,"008.22,000.00000
"
6.937,"008.21,000.00000
"
7.137,"008.38,000.00000
"
7.339,"009.45,000.00000
"
7.555,"010.54,000.00000
"
7.752,"011.64,000.00000
"
7.954,"012.99,000.00000
"
8.155,"014.37,000.00000
"
8.354,"014.98,000.00000
"
8.551,"014.90,000.00000
"
8.751,"014.87,000.00000
"
8.952,"014.85,000.00000
"
9.155,"014.83,000.00000
"
9.371,"015.49,000.00000
"
9.568,"016.71,000.00000
"
9.769,"017.74,000.00000
"
9.972,"018.77,000.00000
"
10.17,"019.71,000.00000
"
10.369,"020.62,000.00000
"
10.571,"021.05,000.00000
"
10.771,"020.81,000.00000
"
10.985,"020.71,000.00000
"
11.186,"020.63,000.00000
"
11.388,"020.60,000.00000
"
11.587,"021.30,000.00000
"
11.786,"022.23,000.00000
"
11.985,"023.03,000.00000
"
12.185,"023.86,000.00000
"
12.385,"024.71,000.00000
"
12.586,"025.39,000.00000
"
12.786,"025.02,000.00000
"
12.986,"024.70,000.00000"
13.203,"
024.47,000.00000
"
13.404,"024.28,000.00000
"
13.603,"024.19,000.00000
"
13.803,"024.92,000.00000
"
14.002,"025.61,000.00000
"
14.203,"026.09,000.00000
"
14.402,"026.53,000.000"
14.62,"00
026.95,000.00000
"
14.819,"027.18,000.00000
"
15.021,"026.37,000.00000
"
15.222,"025.55,000.00000
"
15.421,"024.95,000.00000
"
15.619,"024.49,000.00000
"
15.819,"024.15,000.00000
"
16.019,"024.73,000.00000
"
16.219,"025.16,000.00000
"
16.421,"025.17,000.00000"
16.637,"
024.15,000.00000
"
16.836,"00.03,000.00000
"
17.036,"000.01,000.00000
"
17.236,"000.00,000.00000
"
17.436,"000.00,000.00000
"
17.638,"000.00,000.00000
"
17.837,"000.00,000.00000
"
