Test Time (s),F(kg)      millistrain
0.593,����p������p�p�����p�pa�8�i��������
3.999,"000.55,000.00000
"
4.2,"001.81,000.00000
"
4.399,"003.18,000.00000
"
4.601,"004.41,000.00000
"
4.816,"005.47,000.00000
"
5.016,"006.07,000.00000
"
5.216,"006.04,000.00000
"
5.415,"006.02,000.00000
"
5.616,"006.01,000.00000
"
5.816,"006.00,000.00000
"
6.016,"005.98,000.00000
"
6.216,"006.54,000.00000
"
6.416,"007.82,000.00000"
6.632,"
009.12,000.00000
"
6.832,"0010.29,000.00000
"
7.032,"011.13,000.00000
"
7.232,"011.50,000.00000
"
7.433,"011.46,000.00000
"
7.635,"011.43,000.00000
"
7.833,"011.41,000.00000
"
8.033,"011.38,000.00000
"
8.234,"011.37,000.00000
"
8.449,"011.37,000.00000
"
8.65,"011.98,000.00000
"
8.852,"012.95,000.00000
"
9.05,"014.00,000.00000
"
9.252,"015.13,000.00000
"
9.451,"016.16,000.00000
"
9.651,"016.41,000.00000
"
9.852,"016.31,000.00000
"
10.051,"016.22,000.00000
"
10.251,"016.17,000.00000
"
10.451,"016.13,000.00000
"
10.668,"016.13,000.00000
"
10.866,"016.80,000.00000
"
11.068,"017.88,000.00000
"
11.268,"018.91,000.00000
"
11.468,"019.82,000.00000
"
11.667,"020.52,000.00000
"
11.868,"020.66,000.00000
"
12.085,"020.42,000.00000
"
12.285,"020.19,000.00000
"
12.485,"020.08,000.00000
"
12.682,"019.99,000.00000
"
12.883,"020.01,000.00000
"
13.083,"020.78,000.00000
"
13.286,"021.59,000.00000
"
13.486,"022.19,000.00000
"
13.7,"022.65,000.00000
"
13.902,"023.09,000.00000
"
14.086,"023.51,000.00000"
14.302,"
022.90,000.00000
"
14.502,"022.54,000.00000
"
14.703,"022.27,000.00000
"
14.903,"022.06,000.00000
"
15.099,"021.89,000.00000
"
15.299,"022.37,000.00000
"
15.502,"023.06,000.00000
"
15.716,"023.55,000.00000
"
15.917,"023.87,000.00000
"
16.118,"023.85,000.00000
"
16.316,"017.73,000.00000
"
16.516,"015.77,000.00000
"
16.717,"014.71,000.00000
"
16.917,"014.14,000.00000
"
17.116,"013.75,000.00000
"
17.319,"013.46,000.00000
"
17.536,"013.24,000.00000
"
17.735,"013.61,000.00000
"
17.934,"013.88,000.00000
"
18.133,"013.64,000.00000
"
18.334,"012.38,000.00000
"
18.533,"011.27,000.00000
"
18.735,"010.13,000.00000
"
18.932,"009.00,000.00000
"
19.153,"008.38,000.00000
"
19.353,"008.09,000.00000
"
19.55,"007.89,000.00000
"
19.753,"007.74,000.00000
"
19.95,"007.78,000.00000
"
20.151,"008.12,000.00000
"
20.351,"008.17,000.00000
"
20.551,"008.01,000.00000
"
20.749,"007.73,000.00000
"
20.966,"007.48,000.00000
"
21.15,"007.21,000.00000"
21.366,"
006.68,000.00000
"
21.569,"006.24,000.00000
"
21.767,"006.02,000.00000
"
21.966,"005.88,000.00000
"
22.168,"005.77,000.00000
"
22.367,"005.81,000.00000
"
22.568,"006.09,000.00000
"
22.771,"006.23,000.00000
"
22.985,"006.26,000.00000
"
23.187,"006.16,000.00000
"
23.387,"005.99,000.00000
"
23.585,"005.81,000.00000
"
23.786,"005.47,000.00000
"
23.983,"005.04,000.00000
"
24.184,"004.81,000.00000
"
24.383,"004.66,000.00000
"
24.583,"004.54,000.00000
"
24.8,"004.48,000.00000
"
24.999,"004.82,000.00000
"
25.2,"005.06,000.00000
"
25.401,"005.10,000.00000
"
25.603,"004.94,000.00000
"
25.803,"004.72,000.00000
"
26.004,"004.53,000.00000
"
26.204,"004.27,000.00000
"
26.417,"003.89,000.00000
"
26.602,"003.67,000.00000
"
26.817,"003.60,000.00000
"
27.017,"003.54,000.00000
"
27.22,"003.59,000.00000
"
27.417,"003.93,000.00000
"
27.617,"004.04,000.00000
"
27.819,"004.02,000.00000
"
28.017,"003.92,000.00000
"
28.234,"003.70,000.00000
"
28.434,"003.50,000.00000
"
28.634,"003.08,000.00000
"
28.837,"002.95,000.00000
"
29.035,"002.86,000.00000
"
29.235,"002.81,000.00000
"
29.434,"002.77,000.00000
"
29.635,"002.96,000.00000
"
29.834,"003.15,000.00000
"
30.035,"003.23,000.00000
"
30.252,"003.17,000.00000
"
30.45,"003.07,000.00000
"
30.651,"002.98,000.00000
"
30.852,"002.63,000.00000
"
31.062,"002.50,000.00000
"
31.253,"002.42,000.00000
"
31.453,"002.37,000.00000
"
31.651,"002.33,000.00000"
31.87,"
002.52,000.00000
"
32.068,"002.69,000.00000
"
32.272,"002.73,000.00000
"
32.461,"002.71,000.00000
"
32.662,"002.66,000.00000
"
32.864,"002.58,000.00000
"
33.061,"002.50,000.00000"
33.278,"
002.30,000.00000
"
33.478,"002.18,000.00000
"
33.678,"002.11,000.00000
"
33.879,"002.05,000.00000
"
34.078,"002.02,000.00000
"
34.281,"002.25,000.00000
"
34.478,"002.40,000.00000
"
34.696,"002.45,000.00000
"
34.897,"002.42,000.00000
"
35.081,"002.37,000.00000
"
35.295,"002.30,000.00000
"
35.495,"002.14,000.00000
"
35.696,"002.04,000.00000
"
35.895,"001.97,000.00000
"
36.095,"001.92,000.00000
"
36.296,"001.88,000.00000
"
36.495,"002.00,000.00000
"
36.713,"002.17,000.00000
"
36.911,"002.26,000.00000
"
37.113,"002.27,000.00000
"
37.312,"002.25,000.00000
"
37.512,"002.19,000.00000
"
37.712,"002.07,000.00000
"
37.912,"001.90,000.00000
"
38.117,"001.82,000.00000
"
38.329,"001.76,000.00000
"
38.513,"001.72,000.00000
"
38.729,"001.70,000.00000
"
38.929,"002.02,000.00000
"
39.13,"002.07,000.00000
"
39.329,"002.08,000.00000
"
39.529,"002.07,000.00000
"
39.73,"002.06,000.00000
"
39.929,"001.98,000.00000
"
40.129,"001.79,000.00000"
40.346,"
001.71,000.00000
"
40.546,"001.65,000.00000
"
40.745,"001.61,000.00000
"
40.946,"001.66,000.00000
"
41.145,"001.84,000.00000
"
41.346,"001.93,000.00000
"
41.547,"001.94,000.00000
"
41.748,"001.91,000.00000
"
41.947,"001.87,000.00000
"
42.147,"001.83,000.00000
"
42.348,"001.68,000.000"
42.564,"00
001.59,000.00000
"
42.763,"001.54,000.00000
"
42.963,"001.48,000.00000
"
43.164,"001.49,000.00000
"
43.364,"001.70,000.00000
"
43.563,"001.79,000.00000
"
43.765,"001.83,000.00000
"
43.965,"001.82,000.00000
"
44.166,"001.77,000.00000
"
44.382,"001.72,000.00000
"
44.579,"001.68,000.00000
"
44.781,"001.59,000.00000
"
44.979,"001.50,000.00000
"
45.183,"001.45,000.00000
"
45.382,"001.41,000.00000
"
45.582,"001.38,000.00000
"
45.781,"001.36,000.00000"
