Test Time (s),F(kg)      millistrain
0.499,����pt������p�����
3.922,"000.10,000.00048
"
4.121,"001.18,000.00179
"
4.321,"002.70,000.00317
"
4.521,"003.89,000.00385
"
4.723,"004.62,000.00449
"
4.938,"005.15,000.00472
"
5.136,"005.37,000.00470
"
5.338,"005.34,000.00451
"
5.54,"005.34,000.00454
"
5.737,"005.31,000.00455
"
5.937,"005.31,000.00454
"
6.14,"005.30,000.00454
"
6.339,"005.29,000.00460
"
6.54,"005.59,000.00540
"
6.758,"006.52,000.00629
"
6.955,"007.34,000.00711
"
7.156,"008.28,000.00802
"
7.357,"009.36,000.00636
"
7.554,"008.15,000.00010
"
7.754,"003.35,00-0.00006
"
7.955,"003.19,00-0.00012
"
8.153,"003.10,00-0.00014
"
8.354,"003.05,00-0.00013"
8.572,"
003.02,00-0.00013
"
8.77,"002.99,00-0.00013
"
8.971,"002.97,00-0.00011
"
9.173,"003.03,00-0.00010
"
9.371,"003.28,00-0.00016
"
9.57,"003.35,00-0.00017
"
9.771,"003.34,00-0.00026
"
9.973,"003.29,00-0.00031
"
10.187,"003.27,00-0.00035
"
10.388,"003.19,00-0.00038
"
10.587,"003.11,00-0.00042
"
10.788,"003.06,00-0.00043
"
10.99,"003.03,00-0.00042
"
11.194,"003.00,00-0.00043
"
11.388,"002.98,00-0.00044
"
11.589,"002.97,00-0.00045
"
11.788,"003.36,00-0.00048
"
11.989,"003.44,00-0.00046
"
12.187,"003.29,00-0.00"
12.305,"042
002.98,00"
12.49,"-0.00035
002.78"
12.704,",00-0.00028
002.66,00"
12.905,"-0.00025
002.59,00"
13.105,"-0.00028
002.55,00"
13.305,"-0.00022
002.52,00"
13.505,"-0.00027
002.49,00"
13.706,"-0.00025
002.51,00"
13.905,"-0.00024
002.75,00"
14.121,"-0.00021
002.76,00"
14.322,"-0.00013
002.54,00"
14.523,"-0.00017
002.35,00"
14.723,"-0.00013
002.23,00"
14.921,"-0.00004
002.09,00"
15.121,"-0.00001
002.03,00"
15.321,"-0.00014
001.99,00"
15.521,"-0.00023
001.96,00"
15.724,"-0.00028
001.93,00"
15.921,"-0.00030
001.91,00"
16.138,"-0.00031
001.96,00"
16.337,"-0.00033
002.13,00"
16.539,"-0.00034
002.12,00"
16.74,"-0.00032
002.02,00"
16.94,"-0.00030
001.96,00"
17.138,"-0.00029
001.88,00"
17.338,"-0.00029
001.79,00"
17.538,"-0.00036
001.74,00"
17.74,"-0.00039
001.71,00"
17.957,"-0.00037
001.68,00"
18.155,"-0.00033
001.66,00"
18.358,"-0.00030
001.65,00"
18.557,"-0.00028
001.78,00"
18.756,"-0.00026
001.83,00"
18.958,"-0.00020
001.72,00"
19.157,"-0.00015
001.64,00"
19.356,"-0.00012
001.58,00"
19.557,"-0.00015
001.51,00"
19.757,"-0.00019
001.48,00"
19.973,"-0.00020
001.45,00"
20.173,"-0.00020
001.44,00"
20.373,"-0.00023
001.42,00"
20.573,"-0.00026
001.41,00"
20.773,"-0.00028
001.41,00"
20.973,"-0.00026
001.53,00"
21.174,"-0.00023
001.61,00"
21.375,"-0.00022
001.62,00"
21.59,"-0.00027
001.59,00"
21.791,"-0.00038
001.54,00"
21.99,"-0.00042
001.42,00"
22.191,"-0.00035
001.37,00"
22.39,"-0.00028
001.35,00"
22.591,"-0.00026
001.34,00"
22.791,"-0.00026
001.32,00"
22.99,"-0.00025
001.31,00"
23.189,"-0.00025
001.29,00"
23.391,"-0.00025
001.29,00"
