Test Time (s),F(kg)      millistrain
0.464,"0.0000000274
-0.00,0.0000300
0.00,0.0000311
0.00,0.0000313
-0.00,0.0000326
,0.0000237
-0.00,0.0000251
0.00,0.0000266
-0.00,0.0000274
-0.00,0.0000300
0.00,0.0000311
0.00,0.0000313
-0.00,0.0000326
,0.0000237
-0.00,0.0000251
0.00,0.0000266
-0.00,0.0000274
-0.00,0.0000300
0.00,0.0000311
0.00,0.0000313
-0.00,0.0000326
"
3.812,"-0.00,-0.0000006
"
3.995,"0.00,-0.0000013
"
4.178,"-0.00,-0.0000005
"
4.361,"0.00,-0.0000009
"
4.545,"0.00,-0.0000003
"
4.729,"0.00,0.0000005
"
4.913,"0.00,0.0000005
"
5.096,"-0.00,0.0000008
"
5.278,"-0.00,0.0000011
"
5.462,"-0.00,0.0000018
"
5.645,"-0.00,0.0000026
"
5.829,"-0.00,0.0000021
"
6.012,"0.00,0.0000020
"
6.196,"0.00,0.0000016
"
6.379,"-0.00,0.0000023
"
6.58,"-0.00,0.0000030
"
6.762,"-0.00,0.0000029
"
6.946,"-0.00,0.0000016
"
7.129,"0.00,0.0000026
"
7.312,"-0.00,0.0000025
"
7.496,"-0.00,0.0000035
"
7.679,"-0.00,0.0000034
"
7.863,"-0.00,0.0000038
"
8.047,"0.00,0.0000040
"
8.229,"0.00,0.0000051
"
8.413,"-0.00,0.0000049
"
8.596,"-0.00,0.0000018
"
8.78,"-0.00,0.0000008
"
8.962,"0.00,0.0000013
"
9.146,"0.00,0.0000019
"
9.33,"-0.00,0.0000008
"
9.513,"-0.00,0.0000002
"
9.713,"-0.00,-0.0000002
"
9.896,"-0.00,0.0000026
"
10.079,"-0.00,0.0000039
"
10.263,"-0.00,0.0000047
"
10.447,"-0.00,0.0000037
"
10.63,"0.00,0.0000030
"
10.813,"-0.00,0.0000038
"
10.996,"0.00,0.0000049
"
11.179,"0.00,0.0000037
"
11.363,"0.00,0.0000030
"
11.547,"-0.00,0.0000033
"
11.731,"-0.00,0.0000030
"
11.913,"0.00,0.0000027
"
12.096,"-0.00,0.0000035
"
12.28,"-0.00,0.0000038
"
12.464,"0.00,0.0000039
"
12.647,"-0.00,0.0000045
"
12.83,"-0.00,0.0000048"
13.014,"
0.00,0.0000047
"
13.197,"0.00,0.0000052"
13.38,"
0.00,0.0000050"
13.563,"
0.00,0.0000043"
13.763,"
-0.00,0.0000046
"
13.946,"0.00,0.0000052
"
14.131,"0.00,0.0000047
"
14.313,"-0.00,0.0000048
"
14.497,"0.00,0.0000055
"
14.681,"-0.00,0.0000047
"
14.863,"-0.00,0.0000043
"
15.047,"0.00,0.0000042
"
15.23,"-0.00,0.0000038
"
15.413,"0.00,0.0000037
"
15.596,"0.00,0.0000033
"
15.78,"0.00,0.0000027
"
15.964,"-0.00,0.0000028
"
16.147,"0.00,0.0000030
"
16.331,"-0.00,0.0000026
"
16.514,"-0.00,0.0000023
"
16.714,"0.00,0.0000013
"
16.897,"-0.00,0.0000007
"
17.08,"-0.00,0.0000006
"
17.264,"0.00,0.0000000
"
17.447,"0.00,-0.0000012
"
17.631,"-0.00,-0.0000015
"
17.815,"-0.00,-0.0000015
"
17.997,"0.00,-0.0000017
"
18.181,"0.00,-0.0000022
"
18.364,"-0.00,-0.0000021
"
18.547,"-0.00,-0.0000037
"
18.731,"0.00,-0.0000030
"
18.914,"-0.00,-0.0000032
"
19.097,"0.00,-0.0000038
"
19.28,"-0.00,-0.0000039
"
19.465,"-0.00,-0.0000041
"
19.648,"-0.00,-0.0000037
"
19.831,"-0.00,-0.0000034
"
20.015,"-0.00,-0.0000036
"
20.214,"-0.00,-0.0000047
"
20.398,"-0.00,-0.0000057
"
20.581,"0.00,-0.0000040
"
20.764,"0.00,-0.0000039
"
20.948,"-0.00,-0.0000037
"
21.131,"-0.00,-0.0000033
"
21.319,"0.00,-0.0000043
"
