Test Time (s),F(kg)      millistrain
3.815,"0.0000304
0.0000380
-0.00,0.0000378
-0.00,0.0000377
-0.00,0.0000377
0.00,0.0000380
-0.00,0.0000379
0.00,0.0000379
-0.00,0.00,"
3.999,"-0.0000009
0.00,"
4.182,"-0.0000011
0.00,"
4.365,"-0.0000009
-0.00,"
4.548,"-0.0000009
0.00,"
4.732,"-0.0000008
-0.00,"
4.915,"-0.0000008
0.00,"
5.099,"-0.0000008
-0.00,"
5.299,"-0.0000009
0.00,"
5.483,"-0.0000009
0.00,"
5.665,"-0.0000014
-0.00,"
5.849,"-0.0000015
-0.00,"
6.032,"-0.0000025
0.00,"
6.216,"-0.0000029
0.00,"
6.399,"-0.0000035
-0.00,"
6.583,"-0.0000038
-0.00,"
6.765,"-0.0000041
-0.00,"
6.949,"-0.0000042
0.00,"
7.132,"-0.0000045
-0.00,"
7.316,"-0.0000048
-0.00,"
7.499,"-0.0000050
0.00,"
7.699,"-0.0000050
-0.00,"
7.882,"-0.0000051
0.00,"
8.067,"-0.0000052
0.00,"
8.249,"-0.0000053
-0.00,"
8.433,"-0.0000057
-0.00,"
8.616,"-0.0000059
0.00,"
8.799,"-0.0000059
-0.00,"
8.983,"-0.0000057
0.00,"
9.166,"-0.0000059
-0.00,"
9.35,"-0.0000061
-0.00,"
9.533,"-0.0000056
-0.00,"
9.716,"-0.0000055
-0.00,"
9.9,"-0.0000046
0.00,"
10.083,"-0.0000054
-0.00,"
10.266,"-0.0000049
-0.00,"
10.449,"-0.0000052
-0.00,"
10.633,"-0.0000045
0.00,"
10.816,"-0.0000045
0.00,"
11.017,"-0.0000043
-0.00,"
11.199,"-0.0000038
0.00,"
11.383,"-0.0000039
0.00,"
11.567,"-0.0000033
0.00,"
11.75,"-0.0000032
0.00,"
11.933,"-0.0000031
-0.00,"
12.117,"-0.0000024
-0.00,"
12.299,"-0.0000023
0.00,"
12.483,"-0.0000022
-0.00,"
12.667,"-0.0000020
0.00,"
12.85,"-0.0000019
-0.00,"
13.033,"-0.0000018
0.00,"
13.217,"-0.0000020
-0.00,"
13.401,"-0.0000020
0.00,"
13.583,"-0.0000024
-0.00,"
13.768,"-0.0000021
-0.00,"
13.95,"-0.0000021
-0.00,"
14.15,"-0.0000020
-0.00,"
14.318,"0.0000128
0.22,"
14.517,"0.0007734
1.93,"
14.7,"0.0008032
1.88,"
14.883,"0.0007823
1.87,"
15.067,"0.0012921
4.51,"
15.251,"0.0039454
10.40,"
15.434,"0.0044449
10.97,"
15.617,"0.0042749
10.90,"
15.801,"0.0041815
10.93,"
15.984,"0.0050743
14.35,"
16.167,"0.0071819
19.42,"
16.351,"0.0068904
20.66,"
16.534,"0.0056614
20.52,"
16.717,"0.0052029
20.44,"
16.9,"0.0048954
20.37"
17.085,",0.0048122
21.56"
17.267,",0.0397690
25.4"
17.467,"3,0.0590950
27.99,"
17.651,"0.0590950
29.35,"
17.833,"0.0590950
29.04,"
18.017,"0.0590950
28.82,"
18.201,"0.0590950
28.66,"
18.385,"0.0590950
28.55,"
18.567,"0.0590950
30.01,"
18.751,"0.0590950
32.91,"
18.935,"0.0590950
35.38,"
19.117,"0.0590950
35.97,"
19.301,"0.0590950
35.32,"
19.501,"0.0590950
34.93,"
19.668,"0.0590950
34.64,"
19.867,"0.0590950
34.73,"
20.051,"0.0590950
38.23,"
20.234,"0.0590950
40.16,"
20.419,"0.0590950
40.14,"
20.601,"0.0590950
39.16,"
20.784,"0.0590950
38.49,"
20.968,"0.0590950
38.00,"
21.151,"0.0590950
37.64,"
21.335,"0.0590950
39.10,"
21.518,"0.0590950
36.55,"
21.701,"0.0590950
0.42,"
21.885,"0.0590950
0.01,"
22.068,"0.0590950
0.01,"
22.252,"0.0590950
0.01,"
22.434,"0.0590950
0.01,"
22.619,"0.0590950
0.00,"
22.802,"0.0590950
0.00,"
22.985,"0.0590950
0.01,"
23.185,"0.0590950
0.00,"
23.368,"0.0590950
0.00,"
23.551,"0.0590950
0.00,"
23.734,"0.0590950
0.00,"
23.918,"0.0590950
0.00,"
24.102,"0.0590950
0.01,"
24.352,"0.0590950
-0.08,"
24.518,"0.0590950
0.00,"
24.702,"0.0590950
-0.05,"
24.886,"0.0590950
-0.08,"
25.069,"0.0590950
0.00,"
25.268,"0.0590950
-0.08,"
25.435,"0.0590950
0.00,"
25.619,"0.0590950
0.00,"
