Test Time (s),F(kg)      millistrain
4.636,"0.00
-0.00,0.0001765
0001726
-0.00,0.0001728
-0.00,0.0001733
-0.00,0.0001738
-0.01,0.0001745
-0.00,0.0001748
-0.01,0.0001756
-0.00,0.0001765
-0.00,"
4.819,"0.0000074
-0.00,"
5.002,"0.0000086
-0.00,"
5.186,"0.0000083
0.00,"
5.369,"0.0000068
-0.00,"
5.552,"0.0000126
-0.00,"
5.735,"0.0000177
-0.00,"
5.919,"0.0000231
-0.00,"
6.102,"0.0000272
-0.00,"
6.286,"0.0000309
-0.00,"
6.469,"0.0000345
-0.00,"
6.668,"0.0000374
0.00,"
6.852,"0.0000394
0.00,"
7.035,"0.0000406
0.00,"
7.218,"0.0000419
0.00,"
7.402,"0.0000432
-0.00,"
7.585,"0.0000429
-0.00,"
7.768,"0.0000571
0.00,"
7.953,"0.0000614
0.00,"
8.135,"0.0000644
-0.00,"
8.319,"0.0000674
0.00,"
8.519,"0.0000705
-0.00,"
8.703,"0.0000740
0.00,"
8.887,"0.0000775
-0.00,"
9.069,"0.0000812
0.00,"
9.252,"0.0000842
0.00,"
9.436,"0.0000874
0.00,"
9.619,"0.0000910
-0.00,"
9.802,"0.0000930
0.00,"
9.986,"0.0000941
0.00,"
10.17,"0.0000977
-0.00,"
10.353,"0.0001014
0.00,"
10.536,"0.0001052
-0.00,"
10.736,"0.0001086
0.00,"
10.919,"0.0001119
-0.00,"
11.103,"0.0001157
-0.00,"
11.287,"0.0001191
-0.00,"
11.469,"0.0001228
-0.00,"
11.653,"0.0001256
0.00,"
11.836,"0.0001286
0.00,"
12.02,"0.0001312
-0.00,"
12.203,"0.0001341
-0.00,"
12.386,"0.0001369
-0.00,"
12.57,"0.0001399
-0.00,"
12.753,"0.0001426
0.00,"
12.938,"0.0001452
0.00,"
13.119,"0.0001474
-0.00,"
13.319,"0.0001498
-0.00,"
13.504,"0.0001517
0.00,"
13.686,"0.0001535
0.00,"
13.871,"0.0001556
-0.00,"
14.052,"0.0001579
-0.00,"
14.237,"0.0001604
0.00,"
14.42,"0.0001626
0.00,"
14.603,"0.0001655
0.00,"
14.787,"0.0001678
0.00,"
14.971,"0.0001702
0.00,"
15.153,"0.0001725
-0.00,"
15.337,"0.0001753
0.00,"
15.521,"0.0001780
0.00,"
15.72,"0.0001804
-0.00,"
15.904,"0.0001820
0.00,"
16.088,"0.0001826
-0.00,"
16.27,"0.0001820
-0.00,"
16.454,"0.0001857
-0.00,"
16.637,"0.0001863
0.00,"
16.82,"0.0001881
0.00,"
17.003,"0.0001918
-0.00,"
17.188,"0.0001932
-0.00,"
17.37,"0.0001985
-0.00,"
17.554,"0.0002009
0.00"
17.754,",0.0002037
-0.00,"
17.937,"0.0002064
-0.00,"
18.12,"0.0002099
-0.00,"
18.303,"0.0002133
0.00,"
18.488,"0.0002170
-0.00,"
18.67,"0.0002209
-0.00,"
18.854,"0.0002245
-0.00,"
19.037,"0.0002285
0.00,"
19.22,"0.0003928
0.26,"
19.404,"0.0022242
2.66,"
19.588,"0.0025869
3.03,"
19.787,"0.0025746
3.00,"
19.972,"0.0027670
3.32,"
20.154,"0.0055644
6.95,"
20.338,"0.0063857
7.76,"
20.52,"0.0063568
7.71,"
20.704,"0.0074450
9.21,"
20.887,"0.0118891
13.94,"
21.071,"0.0123600
14.12,"
21.254,"0.0123417
14.02,"
21.437,"0.0123135
13.96,"
21.621,"0.0408108
15.85,"
21.804,"0.0616588
19.48,"
21.987,"0.0616588
20.19,"
22.171,"0.0616588
19.88,"
22.371,"0.0616588
19.68,"
22.554,"0.0616588
19.59,"
22.738,"0.0616588
21.92,"
22.922,"0.0616588
24.91,"
23.105,"0.0616588
24.35,"
23.288,"0.0616588
23.48,"
23.471,"0.0616588
22.97,"
23.655,"0.0616588
22.61,"
23.837,"0.0616588
22.34,"
24.021,"0.0616588
23.42,"
24.204,"0.0616588
26.28,"
24.388,"0.0616588
25.82,"
24.588,"0.0616588
24.51,"
24.771,"0.0616588
23.58,"
24.955,"0.0616588
22.96,"
25.138,"0.0616588
22.52,"
25.321,"0.0616588
22.18,"
25.505,"0.0616588
23.16,"
25.689,"0.0616588
25.88,"
25.872,"0.0616588
21.30,"
26.056,"0.0616588
0.65,"
26.238,"0.0616588
0.20,"
26.421,"0.0616588
0.21"
26.622,",0.0616588
0.22,"
26.805,"0.0616588
0.23,"
26.988,"0.0616588
0.41,"
27.172,"0.0616588
0.57,"
27.355,"0.0616588
0.46,"
