Test Time (s),F(kg)      millistrain
36.459,"0.0579125
15.47,"
36.644,"0.0579125
16.85,"
36.827,"0.0579125
13.44,"
37.009,"0.0579125
11.37,"
37.193,"0.0579125
10.43,"
37.377,"0.0579125
9.98,"
37.56,"0.0579125
9.70,"
37.743,"0.0579125
10.52,"
37.927,"0.0579125
11.93,"
38.109,"0.0579125
9.93,"
38.294,"0.0579125
8.50,"
38.494,"0.0579125
7.95,"
38.677,"0.0579125
7.64,"
38.86,"0.0579125
7.46,"
39.044,"0.0579125
8.68,"
39.227,"0.0579125
8.76,"
39.411,"0.0579125
7.12,"
39.593,"0.0579125
6.41,"
39.777,"0.0579125
6.13,"
39.96,"0.0579125
5.96,"
40.144,"0.0579125
6.15,"
40.328,"0.0579125
7.32,"
40.51,"0.0579125
6.51"
40.711,",0.0579125
5.13,"
40.894,"0.0579125
4.64,"
41.077,"0.0579125
4.41,"
41.261,"0.0579125
4.31,"
41.444,"0.0579125
5.30,"
41.627,"0.0579125
4.29,"
41.811,"0.0579125
3.16,"
41.994,"0.0579125
2.65,"
42.177,"0.0579125
2.49,"
42.361,"0.0579125
2.40,"
42.561,"0.0579125
2.44,"
42.744,"0.0579125
3.07,"
42.927,"0.0579125
2.77,"
43.111,"0.0579125
2.07,"
43.295,"0.0579125
1.81,"
43.478,"0.0579125
1.71,"
43.66,"0.0579125
1.66,"
43.844,"0.0579125
1.98,"
44.027,"0.0579125
2.20,"
44.211,"0.0579125
1.83,"
44.394,"0.0579125
1.45,"
44.578,"0.0579125
1.28,"
44.761,"0.0579125
1.21,"
44.945,"0.0579125
1.16,"
45.144,"0.0579125
1.39,"
45.328,"0.0579125
1.66,"
45.512,"0.0579125
1.49,"
45.695,"0.0579125
1.15,"
45.878,"0.0579125
1.01,"
46.061,"0.0579125
0.95,"
46.244,"0.0579125
0.91,"
46.428,"0.0579125
1.15,"
46.612,"0.0579125
1.36,"
46.795,"0.0579125
1.19,"
46.978,"0.0579125
0.92,"
47.162,"0.0579125
0.86,"
47.346,"0.0579125
0.79,"
47.546,"0.0579125
0.78,"
47.729,"0.0579125
0.88,"
47.911,"0.0579125
6.68,"
48.095,"0.0579125
29.73,"
48.279,"0.0579125
57.30,"
48.461,"0.0579125
76.05,"
48.645,"0.0579125
87.74,"
48.829,"0.0579125
87.70,"
49.012,"0.0579125
86.52,"
49.195,"0.0579125
85.94,"
49.378,"0.0579125
85.64,"
49.561,"0.0579125
85.40"
49.762,",0.0579125
85.21,"
49.946,"0.0579125
85.05,"
50.128,"0.0579125
84.90,"
50.312,"0.0579125
84.76,"
50.495,"0.0579125
84.65,"
50.678,"0.0579125
84.55,"
50.862,"0.0579125
84.45,"
51.046,"0.0579125
84.35,"
51.229,"0.0579125
84.27,"
51.412,"0.0579125
84.20,"
51.612,"0.0579125
84.13,"
51.795,"0.0579125
84.06,"
51.979,"0.0579125
84.00,"
52.162,"0.0579125
83.93,"
52.345,"0.0579125
83.87,"
52.529,"0.0579125
83.82,"
