Test Time (s),F(kg)      millistrain
3.734,"0.0000112
0.0000334
0.00,0.0000342
-0.00,0.0000350
00,0.0000287
-0.00,0.0000296
0.00,0.0000307
0.00,0.0000315
0.00,0.0000323
0.00,0.0000334
0.00,0.0000342
-0.00,0.0000350
-0.00,"
3.916,"0.0000025
-0.00,"
4.099,"0.0000029
0.00,"
4.283,"0.0000036
-0.00,"
4.466,"0.0000037
-0."
4.567,"00,0.0000047
"
4.744,"-0.00,0.0000049
"
4.933,"0.00,0.0000052
"
5.116,"-0.00,0.0000057
"
5.299,"-0.00,0.0000054
"
5.483,"0.00,0.0000056
"
5.666,"0.00,0.0000056
"
5.85,"0.00,0.0000059
"
6.034,"-0.00,0.0000058
"
6.217,"0.00,0.0000062"
6.4,"
0.00,0.0000065"
6.601,"
0.00,0.0000068
"
6.783,"-0.00,0.0000072
"
6.967,"-0.00,0.0000078
"
7.151,"0.00,0.0000082
"
7.334,"0.00,0.0000084
"
7.516,"-0.00,0.0000088
"
7.7,"-0.00,0.0000094
"
7.884,"-0.00,0.0000098
"
8.067,"0.00,0.0000100
"
8.25,"-0.00,0.0000097
"
8.434,"-0.00,0.0000096
"
8.617,"0.00,0.0000096
"
8.8,"0.00,0.0000094
"
9.0,"-0.00,0.0000091
"
9.184,"-0.00,0.0000089
"
9.367,"0.00,0.0000086
"
9.551,"-0.00,0.0000082
"
9.733,"0.00,0.0000080
"
9.918,"0.00,0.0000072
"
10.101,"-0.00,0.0000068
"
10.284,"-0.00,0.0000062
"
10.467,"-0.00,0.0000075
"
10.65,"0.02,0.0011565
"
10.834,"2.35,0.0023489
"
11.018,"3.56,0.0022627
"
11.201,"3.52,0.0030411
"
11.401,"5.45,0.0062008
"
11.584,"10.10,0.0063610
"
11.768,"10.51,0.0061344
"
11.951,"10.46,0.0059870
"
12.134,"10.44,0.0069058
"
12.317,"12.59,0.0406083
"
12.502,"17.49,0.0565670
"
12.684,"19.35,0.0565670
"
12.867,"19.25,0.0565670
"
13.051,"19.17,0.0565670
"
13.234,"19.08,0.0565670
"
13.418,"20.12,0.0565670
"
13.601,"25.30,0.0565670
"
13.784,"27.92,0.0565670
"
13.968,"27.50,0.0565670
"
14.151,"27.26,0.0565670
"
14.335,"27.11,0.0565670
"
14.518,"29.18,0.0565670
"
14.717,"33.51,0.0565670
"
14.901,"33.82,0.0565670
"
15.085,"33.15,0.0565670
"
15.268,"32.76,0.0565670
"
15.451,"32.87,0.0565670
"
15.635,"36.08,0.0565670
"
15.818,"38.13,0.0565670
"
16.002,"36.98,0.0565670
"
16.185,"35.88,0.0565670
"
16.368,"35.01,0.0565670
"
16.551,"34.61,0.0565670
"
16.751,"36.37,0.0565670
"
16.918,"7.00,0.0565670
"
17.118,"0.01,0.0565670
"
17.301,"0.01,0.0565670
"
17.485,"0.01,0.0565670
"
17.667,"0.00,0.0565670
"
17.852,"0.01,0.0565670
"
18.036,"0.00,0.0565670
"
18.218,"0.01,0.0565670
"
18.403,"0.01,0.0565670
"
18.585,"0.01,0.0565670
"
18.769,"0.01,0.0565670
"
18.952,"0.01,0.0565670
"
19.135,"0.01,0.0565670
"
19.318,"0.00,0.0565670
"
19.502,"0.00,0.0565670
"
19.686,"0.01,0.0565670
"
19.869,"0.00,0.0565670
"
20.052,"0.00,0.0565670"
20.252,"
0.00,0.0565670
"
20.435,"0.00,0.0565670
"
