Test Time (s),F(kg)      millistrain
4.38,"0.0000077
0.0000240
0.05,0.0000242
0.04,0.0000247
0.04,0.0000248
0.03,0.0000253
0.03,0.0000254
0.03,0.0000261
0.04,0.0000267
0.04,0.02,"
4.565,"0.0000019
0.02,"
4.764,"0.0000021
0.02,"
4.946,"0.0000031
0.03,"
5.131,"0.0000036
0.03,"
5.314,"0.0000042
0.02,"
5.498,"0.0000049
0.02,"
5.681,"0.0000062
0.03,"
5.865,"0.0000070
0.03,"
6.047,"0.0000075
0.03,"
6.231,"0.0000083
0.04,"
6.429,"0.0000092
0.04,"
6.597,"0.0000102
0.04,"
6.78,"0.0000112
0.05,"
6.964,"0.0000125
0.05,"
7.165,"0.0000141
0.05,"
7.348,"0.0000149
0.04,"
7.53,"0.0000159
0.04,"
7.714,"0.0000171
0.04,"
7.898,"0.0000178
0.03,"
8.081,"0.0000189
0.03,"
8.264,"0.0000195
0.03,"
8.447,"0.0000201
0.03,"
8.632,"0.0000200
0.03,"
8.815,"0.0000231
0.03,"
8.997,"0.0000251
0.03,"
9.181,"0.0000228
0.03,"
9.364,"0.0000229
0.03,"
9.565,"0.0000309
0.03,"
9.748,"0.0000323
0.03,"
9.931,"0.0000327
0.03,"
10.115,"0.0000329
0.03,"
10.298,"0.0000339
0.03,"
10.481,"0.0000343
0.03,"
10.664,"0.0000348
0.03,"
10.848,"0.0000361
0.03,"
11.031,"0.0000364
0.03,"
11.215,"0.0000369
0.03,"
11.398,"0.0000376
0.03,"
11.582,"0.0000386
0.02,"
11.782,"0.0000393
0.02,"
11.966,"0.0000388
0.02,"
12.148,"0.0000393
0.01,"
12.331,"0.0000390
0.01,"
12.516,"0.0000391
-0.01,"
12.698,"0.0000392
-0.02,"
12.881,"0.0000396
-0.02,"
13.066,"0.0000397
-0.03,"
13.248,"0.0000398
-0.03,"
13.431,"0.0000394
-0.03,"
13.616,"0.0000393
-0.04,"
13.815,"0.0000398
-0.04,"
13.999,"0.0000398
-0.05,"
14.182,"0.0000392
-0.05,"
14.366,"0.0000389
-0.05,"
14.549,"0.0000385
-0.05,"
