Test Time (s),F(kg)      millistrain
4.885,"0.0000269
-0.02,0.0000210
-0.02,0.0000211
-0.02,0.0000224
-0.02,0.0000183
-0.02,0.0000131
-0.02,0
-0.02,0.0000284
-0.02,0.0000269
-0.02,0.0000210
-0.02,0.0000211
-0.02,0.0000224
-0.02,0.0000183
-0.02,0.0000131
-0.02,0.00,"
5.067,"-0.0000031
-0.00,"
5.25,"-0.0000050
0.00,"
5.434,"-0.0000021
0.00,"
5.617,"-0.0000027
-0.00,"
5.801,"-0.0000055
0.00,"
5.984,"-0.0000110
-0.00,"
6.167,"-0.0000039
-0.00,"
6.35,"-0.0000065
-0.00,"
6.534,"-0.0000047
-0"
6.634,".00,-0.0000050
"
6.817,"-0.00,-0.0000046
"
7.0,"-0.00,-0.0000113
"
7.184,"-0.00,-0.0000047
"
7.367,"0.00,0.0000039
"
7.551,"-0.00,0.0000016
"
7.751,"0.00,0.0000062
"
7.935,"-0.00,-0.0000009
"
8.12,"-0.00,0.0000012
"
8.303,"-0.00,0.0000131
"
8.486,"0.00,0.0000202
"
8.668,"-0.00,0.0000185
"
8.851,"-0.00,0.0000144
"
9.034,"-0.00,0.0000120
"
9.218,"-0.00,0.0000176
"
9.401,"-0.00,0.0000196
"
9.584,"-0.00,0.0000215
"
9.768,"-0.00,0.0000201
"
9.952,"-0.00,0.0000141
"
10.151,"-0.00,0.0000134
"
10.334,"-0.00,0.0000198
"
10.518,"-0.00,0.0000204
"
10.701,"0.00,0.0000193
"
10.885,"-0.00,0.0000139
"
11.068,"-0.00,0.0000065
"
11.252,"-0.00,0.0000089
"
11.434,"-0.00,0.0000105
"
11.619,"-0.00,0.0000075
"
11.802,"-0.00,0.0000117
"
11.985,"-0.00,0.0000090
"
12.168,"-0.00,0.0000076
"
12.351,"-0.00,0.0000078
"
12.551,"-0.00,0.0000090
"
12.735,"-0.00,0.0000130
"
12.918,"-0.00,0.0000148
"
13.102,"0.00,0.0000157
"
13.285,"-0.00,0.0000275
"
13.468,"-0.00,0.0000243
"
13.652,"-0.00,0.0000296
"
13.836,"-0.00,0.0000194
"
14.019,"0.00,0.0000156
"
14.202,"-0.00,0.0000082
"
14.385,"0.00,0.0000059
"
14.568,"0.00,0.0000077
"
14.751,"0.01,0.0000065
"
14.936,"0.00,-0.0000032
"
15.136,"0.00,-0.0000078
"
15.319,"0.00,-0.0000096
"
15.503,"0.00,-0.0000150
"
15.685,"0.01,-0.0000494
"
15.868,"0.01,-0.0000533
"
16.053,"0.00,-0.0000047
"
16.236,"0.01,-0.0000015
"
16.418,"0.00,0.0000109
"
16.602,"0.01,0.0000079
"
16.785,"0.00,0.0000022
"
16.969,"0.00,0.0000059
"
17.152,"0.01,-0.0000006
"
17.351,"0.01,-0.0000085
"
17.535,"0.01,0.0000024
"
17.719,"0.01,0.0000016
"
17.902,"0.01,0.0000012
"
18.086,"0.00,0.0000066
"
18.269,"0.01,0.0000151
"
18.452,"0.00,-0.0000590
"
18.635,"0.01,-0.0001667
"
18.819,"0.01,-0.0001660
"
19.002,"0.01,-0.0001912
"
19.185,"0.00,-0.0002188"
19.369,"
0.01,-0.0003065"
19.568,"
0.01,-0.0002665
"
19.752,"0.01,-0.0002866
"
19.937,"0.01,-0.0003193
"
20.119,"0.01,-0.0004043
"
20.302,"0.01,-0.0004165
"
20.487,"0.01,-0.0004466
"
20.669,"0.01,-0.0006489
"
20.853,"0.01,-0.0007372
"
21.036,"0.01,-0.0008512
"
21.219,"0.01,-0.0008491
"
21.419,"0.01,-0.0010384
"
21.603,"0.01,-0.0013960
"
21.786,"0.01,-0.0014462
"
21.969,"0.01,-0.0014582
"
22.153,"0.01,-0.0014613
"
22.337,"0.01,-0.0014798
"
22.519,"0.02,-0.0022797
"
22.703,"2.27,-0.0026273
"
22.886,"4.51,-0.0027969
"
23.07,"4.46,-0.0028892
"
23.253,"4.45,-0.0029221
"
23.437,"4.85,-0.0014829
"
23.637,"10.09,-0.0005337
"
23.819,"14.03,-0.0002979
"
24.003,"15.24,-0.0005402
"
24.187,"15.17,-0.0006982
"
24.369,"15.12,-0.0008131
"
24.553,"15.08,-0.0004389
"
24.737,"16.14,0.0029330
"
24.919,"20.76,0.0348428
"
25.104,"1.23,0.0348428
"
25.286,"0.01,0.0348428
"
25.47,"0.00,0.0348428
"
25.654,"0.01,0.0348428
"
25.837,"0.01,0.0348428
"
26.021,"0.01,0.0348428
"
26.204,"0.01,0.0348428
"
26.404,"0.01,0.0348428
"
26.578,"0.01,0.0348428
"
26.761,"0.01,0.0348428
"
26.961,"0.01,0.0348428
"
27.145,"0.01,0.0348428
"
27.328,"0.01,0.0348428
"
27.511,"0.01,0.0348428
"
27.7,"0.01,0.0348428
"
27.878,"0.01,0.0348428
"
28.061,"0.01,0.0348428
"
28.244,"0.01,0.0348428
"
28.428,"0.01,0.0348428
"
28.612,"0.01,0.0348428
"
28.795,"0.01,0.0348428
"
28.978,"0.01,0.0348428
"
29.178,"0.01,0.0348428
"
29.361,"0.01,0.0348428
"
29.545,"0.01,0.0348428
"
29.727,"0.01,0.0348428
"
29.912,"0.01,0.0348428
"
30.095,"0.01,0.0348428
"
30.278,"0.01,0.0348428
"
30.462,"0.01,0.0348428
"
30.646,"0.01,0.0348428
"
30.827,"0.01,0.0348428
"
