Test Time (s),F(kg)      millistrain
3.628,"0.00002320,0.0000463
-0.00,0.0000473
-0.00,0.0000485
-0.00,0.0000492
-0.00,0.0000499
0.00,434
-0.00,0.0000448
-0.00,0.0000453
0.00,0.0000463
-0.00,0.0000473
-0.00,0.0000485
-0.00,0.0000492
-0.00,0.0000499
0.00,-0.00,"
3.811,"-0.0000013
-0.00,"
3.995,"-0.0000023
0.00,"
4.178,"-0.0000028
-0.00,"
4.361,"-0.0000039
-0.00,"
4.545,"-0.0000037
0.00,"
4.74,"-0.0000040
-0.00,"
4.911,"-0.0000033
0.00,"
5.095,"-0.0000028
0.00,"
5.279,"-0.0000019
0.00,"
5.462,"-0.0000002
-0.00,"
5.646,"0.0000004
-0.00,"
5.829,"0.0000010
0.00,"
6.012,"0.0000017
0.00,"
6.195,"0.0000026
-0.00,"
6.379,"0.0000036
0.00,"
6.579,"0.0000037
0.00,"
6.746,"0.0000051
0.00,"
6.945,"0.0000053
-0.00,"
7.13,"0.0000061
0.00,"
7.312,"0.0000065
0.00,"
7.496,"0.0000063
0.00,"
7.678,"0.0000054
0.00,"
7.862,"0.0000064
0.00,"
8.045,"0.0000071
0.00,"
8.229,"0.0000075
-0.00,"
8.413,"0.0000070
0.00,"
8.596,"0.0000075
0.00,"
8.78,"0.0000078
0.00,"
8.962,"0.0000077
-0.00,"
9.146,"0.0000074
-0.00,"
9.329,"0.0000077
0.00,"
9.513,"0.0000078
0.00,"
9.695,"0.0000071
-0.00,"
9.879,"0.0000069
0.00,"
10.063,"0.0000066
0.00,"
10.246,"0.0000065
0.00,"
10.429,"0.0000063
0.00,"
10.613,"0.0000066
-0.00,"
10.813,"0.0000066
0.00,"
10.997,"0.0000070
0.00,"
11.18,"0.0000069
0.00,"
11.363,"0.0000067
0.00,"
11.545,"0.0000062
0.00,"
11.73,"0.0000061
0.00,"
11.913,"0.0000062
0.00,"
12.095,"0.0000062
0.00,"
12.28,"0.0000058
0.00,"
12.462,"0.0000057
0.00,"
12.645,"0.0000060
0.00,"
12.831,"0.0000064
0.00,"
13.013,"0.0000060
-0.00,"
13.196,"0.0000063
-0.00,"
13.379,"0.0000065
-0.00,"
13.563,"0.0000069
0.02,"
13.763,"0.0000065
-0.00,"
13.946,"0.0000065
0.02,"
14.13,"0.0000069
0.00,"
14.314,"0.0000068
-0.00,"
14.498,"0.0000076
0.00,"
14.68,"0.0000074
0.01,"
14.864,"0.0000070
0.01,"
15.047,"0.0000475
0.20,"
15.23,"0.0001208
0.17,"
15.413,"0.0001110
0.17,"
15.597,"0.0001098
0.26,"
15.781,"0.0006898
2.69,"
15.964,"0.0027083
5.73,"
16.146,"0.0039488
6.65,"
16.33,"0.0039192
6.59,"
16.514,"0.0038591
6.57,"
16.696,"0.0038148
6.80,"
16.88,"0.0047910
10.31,"
17.079,"0.0071460
13.77,"
17.263,"0.0079254
14.29,"
17.447,"0.0075371
14.24,"
17.63,"0.0072692
14.21,"
17.814,"0.0070627
14.29,"
17.997,"0.0074942
17.01,"
18.18,"0.0095120
21.37,"
18.364,"0.0100046
22.58,"
18.547,"0.0091468
22.46,"
18.73,"0.0086320
22.39,"
18.914,"0.0082715
22.35,"
19.097,"0.0082285
24.08,"
19.281,"0.0095729
28.22,"
19.464,"0.0097824
30.43,"
19.647,"0.0082615
30.31,"
19.83,"0.0072515
30.12,"
20.013,"0.0066722
29.99,"
20.197,"0.0062784
29.89,"
20.382,"0.0061324
31.29,"
20.581,"0.0069342
34.91,"
20.764,"0.0071290
36.81,"
20.948,"0.0060995
36.19,"
21.13,"0.0054072
35.76,"
21.314,"0.0049985
35.45,"
21.498,"0.0047047
35.23,"
21.681,"0.0046432
36.74,"
21.863,"0.0052059
39.80,"
22.048,"0.0051538
40.38,"
22.231,"0.0043288
39.15,"
22.414,"0.0038386
38.44,"
22.598,"0.0035320
37.94,"
22.781,"0.0033268
38.11,"
22.965,"0.0035467
40.75,"
23.148,"0.0068632
42.02,"
23.331,"0.0593017
40.14,"
23.515,"0.0593017
38.80,"
23.714,"0.0593017
37.80,"
23.898,"0.0593017
36.77,"
24.082,"0.0593017
35.62,"
24.265,"0.0593017
8.25,"
24.448,"0.0593017
0.01,"
24.631,"0.0593017
0.01,"
24.815,"0.0593017
0.00,"
24.998,"0.0593017
0.01,"
25.182,"0.0593017
0.00,"
25.365,"0.0593017
0.00,"
25.549,"0.0593017
0.00,"
25.731,"0.0593017
0.00,"
25.915,"0.0593017
0.00,"
26.099,"0.0593017
0.00,"
26.282,"0.0593017
0.00,"
26.464,"0.0593017
0.00,"
26.649,"0.0593017
0.00,"
26.848,"0.0593017
0.00,"
27.032,"0.0593017
-0.00,"
27.199,"0.0593017
-0."
27.298,"00,0.0593017
"
27.482,"0.00,0.0593017
"
27.665,"0.00,0.0593017
"
27.848,"0.00,0.0593017
"
28.032,"-0.00,0.0593017
"
28.215,"0.00,0.0593017
"
28.399,"0.00,0.0593017
"
28.582,"0.00,0.0593017
"
