Test Time (s),F(kg)      millistrain
3.78,"0-0.00,0.0000075
-0.00,0.0000066
-0.00,0.0000055
-0.00,0.0000049
.0000114
0.00,0.0000097
-0.00,0.0000091
-0.00,0.0000083
-0.00,0.0000075
-0.00,0.0000066
-0.00,0.0000055
-0.00,0.0000049
0.00,"
3.963,"-0.0000033
0.00,"
4.147,"-0.0000043
0.00,"
4.33,"-0.0000045
0.00,"
4.513,"-0.0000056
0.00,"
4.696,"-0.0000055
0.00,"
4.876,"-0.0000043
0.00,"
5.064,"-0.0000037
0.00,"
5.247,"-0.0000033
0.00,"
5.43,"-0.0000033
0.00,"
5.613,"-0.0000030
0.01,"
5.797,"-0.0000025
0.00,"
5.981,"-0.0000025
0.00,"
6.163,"-0.0000026
0.00,"
6.346,"-0.0000022
0.01,"
6.53,"-0.0000017
0.01,"
6.73,"-0.0000010
0.01,"
6.914,"-0.0000005
0.00,"
7.096,"-0.0000002
0.01,"
7.28,"0.0000000
0.01,"
7.463,"-0.0000002
0.01,"
7.647,"-0.0000001
0.00,"
7.83,"-0.0000004
0.00,"
8.014,"-0.0000006
0.01,"
8.198,"-0.0000010
0.00,"
8.38,"-0.0000008
0.01,"
8.563,"-0.0000003
0.01,"
8.747,"0.0000007
0.00,"
8.931,"0.0000018
0.00,"
9.114,"0.0000021
0.00,"
9.297,"0.0000020
0.00,"
9.48,"0.0000032
0.00,"
9.664,"0.0000038
0.00,"
9.847,"0.0000048
0.01,"
10.031,"0.0000061
0.00,"
10.215,"0.0000067
0.00,"
10.415,"0.0000081
0.00,"
10.598,"0.0000084
0.00,"
10.781,"0.0000099
0.00,"
10.964,"0.0000113
0.01,"
11.148,"0.0000123
0.00,"
11.331,"0.0000140
0.00,"
11.514,"0.0000156
0.00,"
11.697,"0.0000171
0.01,"
11.881,"0.0000190
0.00,"
12.065,"0.0000207
0.00,"
12.247,"0.0000227
0.01,"
12.431,"0.0000241
0.01,"
12.615,"0.0000254
0.00,"
12.798,"0.0000259
0.00,"
12.982,"0.0000265
0.00,"
13.164,"0.0000263
0.00,"
13.365,"0.0000253
0.00,"
13.548,"0.0000253
0.00,"
13.731,"0.0000253
0.00,"
13.915,"0.0000250
0.00,"
14.098,"0.0000254
0.00,"
