Test Time (s),F(kg)      millistrain
35.448,"0.0065028
28.41,"
35.632,"0.0410008
1.98,"
35.815,"0.0560506
0.05,"
35.999,"0.0560506
0.11,"
36.182,"0.0560506
0.12,"
36.381,"0.0560506
0.13,"
36.565,"0.0560506
0.13,"
36.75,"0.0560506
0.13,"
36.932,"0.0560506
0.16,"
37.115,"0.0560506
0.25,"
37.299,"0.0560506
0.29,"
37.482,"0.0560506
0.27,"
37.665,"0.0560506
0.26,"
37.849,"0.0560506
0.26,"
38.033,"0.0560506
0.25,"
38.216,"0.0560506
0.25,"
38.399,"0.0560506
0.27,"
38.599,"0.0560506
0.29,"
38.783,"0.0560506
0.28,"
38.966,"0.0560506
0.28,"
39.15,"0.0560506
0.27,"
39.332,"0.0560506
0.27,"
39.516,"0.0560506
0.27,"
39.701,"0.0560506
0.27,"
39.882,"0.0560506
0.27,"
40.067,"0.0560506
0.27,"
40.249,"0.0560506
0.27,"
40.433,"0.0560506
0.27,"
40.616,"0.0560506
0.27,"
40.8,"0.0560506
0.27,"
40.985,"0.0560506
0.26,"
41.166,"0.0560506
0.26,"
41.366,"0.0560506
0.26,"
41.55,"0.0560506
0.26,"
41.733,"0.0560506
0.26,"
